Date,Time,Heart rate
2024.12.23 00.00,00.00,59
2024.12.23 00.00,00.00,59
2024.12.23 00.00,00.00,59
2024.12.23 00.01,00.01,59
2024.12.23 00.01,00.01,59
2024.12.23 00.01,00.01,59
2024.12.23 00.01,00.01,59
2024.12.23 00.02,00.02,59
2024.12.23 00.02,00.02,50
2024.12.23 00.02,00.02,50
2024.12.23 00.02,00.02,50
2024.12.23 00.03,00.03,50
2024.12.23 00.03,00.03,51
2024.12.23 00.03,00.03,51
2024.12.23 00.03,00.03,51
2024.12.23 00.04,00.04,51
2024.12.23 00.04,00.04,53
2024.12.23 00.04,00.04,53
2024.12.23 00.04,00.04,53
2024.12.23 00.05,00.05,53
2024.12.23 00.05,00.05,56
2024.12.23 00.05,00.05,56
2024.12.23 00.05,00.05,56
2024.12.23 00.06,00.06,56
2024.12.23 00.06,00.06,58
2024.12.23 00.06,00.06,58
2024.12.23 00.06,00.06,58
2024.12.23 00.07,00.07,58
2024.12.23 00.07,00.07,52
2024.12.23 00.07,00.07,52
2024.12.23 00.07,00.07,52
2024.12.23 00.08,00.08,52
2024.12.23 00.08,00.08,51
2024.12.23 00.08,00.08,51
2024.12.23 00.08,00.08,51
2024.12.23 00.09,00.09,51
2024.12.23 00.09,00.09,52
2024.12.23 00.09,00.09,52
2024.12.23 00.09,00.09,52
2024.12.23 00.10,00.10,52
2024.12.23 00.10,00.10,52
2024.12.23 00.10,00.10,52
2024.12.23 00.10,00.10,52
2024.12.23 00.11,00.11,52
2024.12.23 00.11,00.11,52
2024.12.23 00.11,00.11,52
2024.12.23 00.11,00.11,52
2024.12.23 00.12,00.12,52
2024.12.23 00.12,00.12,61
2024.12.23 00.12,00.12,61
2024.12.23 00.12,00.12,61
2024.12.23 00.13,00.13,61
2024.12.23 00.13,00.13,53
2024.12.23 00.13,00.13,53
2024.12.23 00.13,00.13,53
2024.12.23 00.14,00.14,53
2024.12.23 00.14,00.14,54
2024.12.23 00.14,00.14,54
2024.12.23 00.14,00.14,54
2024.12.23 00.15,00.15,54
2024.12.23 00.15,00.15,54
2024.12.23 00.15,00.15,54
2024.12.23 00.15,00.15,54
2024.12.23 00.16,00.16,54
2024.12.23 00.16,00.16,53
2024.12.23 00.16,00.16,53
2024.12.23 00.16,00.16,53
2024.12.23 00.17,00.17,53
2024.12.23 00.17,00.17,54
2024.12.23 00.17,00.17,54
2024.12.23 00.17,00.17,54
