Date,Time,Heart rate
2024.12.07 00.00,00.00,52
2024.12.07 00.00,00.00,53
2024.12.07 00.00,00.00,53
2024.12.07 00.00,00.00,53
2024.12.07 00.01,00.01,53
2024.12.07 00.01,00.01,53
2024.12.07 00.01,00.01,53
2024.12.07 00.01,00.01,53
2024.12.07 00.02,00.02,53
2024.12.07 00.02,00.02,54
2024.12.07 00.02,00.02,54
2024.12.07 00.02,00.02,54
2024.12.07 00.03,00.03,54
2024.12.07 00.03,00.03,55
2024.12.07 00.03,00.03,55
2024.12.07 00.03,00.03,55
2024.12.07 00.04,00.04,55
2024.12.07 00.04,00.04,50
2024.12.07 00.04,00.04,50
2024.12.07 00.04,00.04,50
2024.12.07 00.05,00.05,50
2024.12.07 00.05,00.05,52
2024.12.07 00.05,00.05,52
2024.12.07 00.05,00.05,52
2024.12.07 00.06,00.06,52
2024.12.07 00.06,00.06,53
2024.12.07 00.06,00.06,53
2024.12.07 00.06,00.06,53
2024.12.07 00.07,00.07,53
2024.12.07 00.07,00.07,53
2024.12.07 00.07,00.07,53
2024.12.07 00.07,00.07,53
2024.12.07 00.08,00.08,53
2024.12.07 00.08,00.08,53
2024.12.07 00.08,00.08,53
2024.12.07 00.08,00.08,53
2024.12.07 00.09,00.09,53
2024.12.07 00.09,00.09,53
2024.12.07 00.09,00.09,53
2024.12.07 00.09,00.09,53
2024.12.07 00.10,00.10,53
2024.12.07 00.10,00.10,53
2024.12.07 00.10,00.10,53
2024.12.07 00.10,00.10,53
2024.12.07 00.11,00.11,53
2024.12.07 00.11,00.11,53
2024.12.07 00.11,00.11,53
2024.12.07 00.11,00.11,53
2024.12.07 00.12,00.12,53
2024.12.07 00.12,00.12,53
2024.12.07 00.12,00.12,53
2024.12.07 00.12,00.12,53
2024.12.07 00.13,00.13,53
2024.12.07 00.13,00.13,53
2024.12.07 00.13,00.13,53
2024.12.07 00.13,00.13,53
2024.12.07 00.14,00.14,53
2024.12.07 00.14,00.14,53
2024.12.07 00.14,00.14,53
2024.12.07 00.14,00.14,53
2024.12.07 00.15,00.15,53
2024.12.07 00.15,00.15,53
2024.12.07 00.15,00.15,53
2024.12.07 00.15,00.15,53
2024.12.07 00.16,00.16,53
2024.12.07 00.16,00.16,53
2024.12.07 00.16,00.16,53
2024.12.07 00.16,00.16,53
2024.12.07 00.17,00.17,53
2024.12.07 00.17,00.17,53
2024.12.07 00.17,00.17,53
2024.12.07 00.17,00.17,53
2024.12.07 00.18,00.18,53
2024.12.07 00.18,00.18,54
2024.12.07 00.18,00.18,54
2024.12.07 00.18,00.18,54
2024.12.07 00.19,00.19,54
2024.12.07 00.19,00.19,54
2024.12.07 00.19,00.19,54
2024.12.07 00.19,00.19,54
2024.12.07 00.20,00.20,54
2024.12.07 00.20,00.20,53
2024.12.07 00.20,00.20,53
2024.12.07 00.20,00.20,53
2024.12.07 00.21,00.21,53
2024.12.07 00.21,00.21,53
2024.12.07 00.21,00.21,53
2024.12.07 00.21,00.21,53
2024.12.07 00.22,00.22,53
2024.12.07 00.22,00.22,58
2024.12.07 00.22,00.22,58
2024.12.07 00.22,00.22,58
2024.12.07 00.23,00.23,58
2024.12.07 00.23,00.23,50
2024.12.07 00.23,00.23,50
2024.12.07 00.23,00.23,50
2024.12.07 00.24,00.24,50
2024.12.07 00.24,00.24,51
