Date,Time,Heart rate
2024.12.15 00.00,00.00,54
2024.12.15 00.00,00.00,52
2024.12.15 00.00,00.00,52
2024.12.15 00.00,00.00,52
2024.12.15 00.01,00.01,52
2024.12.15 00.01,00.01,52
2024.12.15 00.01,00.01,52
2024.12.15 00.01,00.01,52
2024.12.15 00.02,00.02,52
2024.12.15 00.02,00.02,52
2024.12.15 00.02,00.02,52
2024.12.15 00.02,00.02,52
2024.12.15 00.03,00.03,52
2024.12.15 00.03,00.03,52
2024.12.15 00.03,00.03,52
2024.12.15 00.03,00.03,52
2024.12.15 00.04,00.04,52
2024.12.15 00.04,00.04,52
2024.12.15 00.04,00.04,52
2024.12.15 00.04,00.04,52
2024.12.15 00.05,00.05,52
2024.12.15 00.05,00.05,52
2024.12.15 00.05,00.05,52
2024.12.15 00.05,00.05,52
2024.12.15 00.06,00.06,52
2024.12.15 00.06,00.06,54
2024.12.15 00.06,00.06,54
2024.12.15 00.06,00.06,54
2024.12.15 00.07,00.07,54
2024.12.15 00.07,00.07,55
2024.12.15 00.07,00.07,55
2024.12.15 00.07,00.07,55
2024.12.15 00.08,00.08,55
2024.12.15 00.08,00.08,52
2024.12.15 00.08,00.08,52
2024.12.15 00.08,00.08,52
2024.12.15 00.09,00.09,52
2024.12.15 00.09,00.09,52
2024.12.15 00.09,00.09,52
2024.12.15 00.09,00.09,52
2024.12.15 00.10,00.10,52
2024.12.15 00.10,00.10,54
2024.12.15 00.10,00.10,54
2024.12.15 00.10,00.10,54
2024.12.15 00.11,00.11,54
2024.12.15 00.11,00.11,53
2024.12.15 00.11,00.11,53
2024.12.15 00.11,00.11,53
2024.12.15 00.12,00.12,53
2024.12.15 00.12,00.12,55
2024.12.15 00.12,00.12,55
2024.12.15 00.12,00.12,55
2024.12.15 00.13,00.13,55
2024.12.15 00.13,00.13,55
2024.12.15 00.13,00.13,55
2024.12.15 00.13,00.13,55
2024.12.15 00.14,00.14,55
2024.12.15 00.14,00.14,55
2024.12.15 00.14,00.14,55
2024.12.15 00.14,00.14,55
2024.12.15 00.15,00.15,55
2024.12.15 00.15,00.15,55
2024.12.15 00.15,00.15,55
2024.12.15 00.15,00.15,55
2024.12.15 00.16,00.16,55
2024.12.15 00.16,00.16,54
2024.12.15 00.16,00.16,54
2024.12.15 00.16,00.16,54
2024.12.15 00.17,00.17,54
2024.12.15 00.17,00.17,55
2024.12.15 00.17,00.17,55
2024.12.15 00.17,00.17,55
2024.12.15 00.18,00.18,55
2024.12.15 00.18,00.18,54
2024.12.15 00.18,00.18,54
2024.12.15 00.18,00.18,54
2024.12.15 00.19,00.19,54
2024.12.15 00.19,00.19,55
2024.12.15 00.19,00.19,55
2024.12.15 00.19,00.19,55
2024.12.15 00.20,00.20,55
2024.12.15 00.20,00.20,55
2024.12.15 00.20,00.20,55
2024.12.15 00.20,00.20,55
2024.12.15 00.21,00.21,55
2024.12.15 00.21,00.21,55
2024.12.15 00.21,00.21,55
2024.12.15 00.21,00.21,55
2024.12.15 00.22,00.22,55
2024.12.15 00.22,00.22,54
2024.12.15 00.22,00.22,54
2024.12.15 00.22,00.22,54
2024.12.15 00.23,00.23,54
2024.12.15 00.23,00.23,53
2024.12.15 00.23,00.23,53
2024.12.15 00.23,00.23,53
2024.12.15 00.24,00.24,53
2024.12.15 00.24,00.24,54
2024.12.15 00.24,00.24,54
2024.12.15 00.24,00.24,54
2024.12.15 00.25,00.25,54
2024.12.15 00.25,00.25,55
2024.12.15 00.25,00.25,55
2024.12.15 00.25,00.25,55
2024.12.15 00.26,00.26,55
2024.12.15 00.26,00.26,54
2024.12.15 00.26,00.26,54
2024.12.15 00.26,00.26,54
2024.12.15 00.27,00.27,54
2024.12.15 00.27,00.27,56
2024.12.15 00.27,00.27,56
2024.12.15 00.27,00.27,56
2024.12.15 00.28,00.28,56
2024.12.15 00.28,00.28,57
2024.12.15 00.28,00.28,57
2024.12.15 00.28,00.28,57
2024.12.15 00.29,00.29,57
2024.12.15 00.29,00.29,55
2024.12.15 00.29,00.29,55
2024.12.15 00.29,00.29,55
2024.12.15 00.30,00.30,55
2024.12.15 00.30,00.30,55
2024.12.15 00.30,00.30,55
2024.12.15 00.30,00.30,55
2024.12.15 00.31,00.31,55
2024.12.15 00.31,00.31,54
2024.12.15 00.31,00.31,54
2024.12.15 00.31,00.31,54
2024.12.15 00.32,00.32,54
2024.12.15 00.32,00.32,54
2024.12.15 00.32,00.32,54
2024.12.15 00.32,00.32,54
2024.12.15 00.33,00.33,54
2024.12.15 00.33,00.33,55
2024.12.15 00.33,00.33,55
2024.12.15 00.33,00.33,55
2024.12.15 00.34,00.34,55
2024.12.15 00.34,00.34,54
2024.12.15 00.34,00.34,54
2024.12.15 00.34,00.34,54
2024.12.15 00.35,00.35,54
2024.12.15 00.35,00.35,56
2024.12.15 00.35,00.35,56
2024.12.15 00.35,00.35,56
2024.12.15 00.36,00.36,56
2024.12.15 00.36,00.36,54
2024.12.15 00.36,00.36,54
2024.12.15 00.36,00.36,54
2024.12.15 00.37,00.37,54
2024.12.15 00.37,00.37,55
2024.12.15 00.37,00.37,55
2024.12.15 00.37,00.37,55
2024.12.15 00.38,00.38,55
2024.12.15 00.38,00.38,55
2024.12.15 00.38,00.38,55
2024.12.15 00.38,00.38,55
2024.12.15 00.39,00.39,55
2024.12.15 00.39,00.39,55
2024.12.15 00.39,00.39,55
2024.12.15 00.39,00.39,55
2024.12.15 00.40,00.40,55
2024.12.15 00.40,00.40,55
2024.12.15 00.40,00.40,55
2024.12.15 00.40,00.40,55
2024.12.15 00.41,00.41,55
2024.12.15 00.41,00.41,56
2024.12.15 00.41,00.41,56
2024.12.15 00.41,00.41,56
2024.12.15 00.42,00.42,56
2024.12.15 00.42,00.42,54
2024.12.15 00.42,00.42,54
2024.12.15 00.42,00.42,54
2024.12.15 00.43,00.43,54
2024.12.15 00.43,00.43,55
2024.12.15 00.43,00.43,55
2024.12.15 00.43,00.43,55
2024.12.15 00.44,00.44,55
2024.12.15 00.44,00.44,55
2024.12.15 00.44,00.44,55
2024.12.15 00.44,00.44,55
2024.12.15 00.45,00.45,55
2024.12.15 00.45,00.45,54
2024.12.15 00.45,00.45,54
2024.12.15 00.45,00.45,54
2024.12.15 00.46,00.46,54
2024.12.15 00.46,00.46,55
2024.12.15 00.46,00.46,55
2024.12.15 00.46,00.46,55
2024.12.15 00.47,00.47,55
2024.12.15 00.47,00.47,54
2024.12.15 00.47,00.47,54
2024.12.15 00.47,00.47,54
2024.12.15 00.48,00.48,54
2024.12.15 00.48,00.48,54
2024.12.15 00.48,00.48,54
2024.12.15 00.48,00.48,54
2024.12.15 00.49,00.49,54
2024.12.15 00.49,00.49,55
2024.12.15 00.49,00.49,55
2024.12.15 00.49,00.49,55
2024.12.15 00.50,00.50,55
2024.12.15 00.50,00.50,53
2024.12.15 00.50,00.50,53
2024.12.15 00.50,00.50,53
2024.12.15 00.51,00.51,53
2024.12.15 00.51,00.51,54
2024.12.15 00.51,00.51,54
2024.12.15 00.51,00.51,54
2024.12.15 00.52,00.52,54
2024.12.15 00.52,00.52,55
2024.12.15 00.52,00.52,55
2024.12.15 00.52,00.52,55
2024.12.15 00.53,00.53,55
2024.12.15 00.53,00.53,54
2024.12.15 00.53,00.53,54
2024.12.15 00.53,00.53,54
2024.12.15 00.54,00.54,54
2024.12.15 00.54,00.54,53
2024.12.15 00.54,00.54,53
2024.12.15 00.54,00.54,53
2024.12.15 00.55,00.55,53
2024.12.15 00.55,00.55,54
2024.12.15 00.55,00.55,54
2024.12.15 00.55,00.55,54
2024.12.15 00.56,00.56,54
2024.12.15 00.56,00.56,55
2024.12.15 00.56,00.56,55
2024.12.15 00.56,00.56,55
2024.12.15 00.57,00.57,55
2024.12.15 00.57,00.57,55
2024.12.15 00.57,00.57,55
2024.12.15 00.57,00.57,55
2024.12.15 00.58,00.58,55
2024.12.15 00.58,00.58,54
2024.12.15 00.58,00.58,54
2024.12.15 00.58,00.58,54
2024.12.15 00.59,00.59,54
2024.12.15 00.59,00.59,54
2024.12.15 00.59,00.59,54
2024.12.15 00.59,00.59,54
2024.12.15 01.00,01.00,54
2024.12.15 01.00,01.00,64
2024.12.15 01.00,01.00,64
2024.12.15 01.00,01.00,64
2024.12.15 01.01,01.01,64
2024.12.15 01.01,01.01,50
2024.12.15 01.01,01.01,50
2024.12.15 01.01,01.01,50
2024.12.15 01.02,01.02,50
2024.12.15 01.02,01.02,54
2024.12.15 01.02,01.02,54
2024.12.15 01.02,01.02,54
2024.12.15 01.03,01.03,54
2024.12.15 01.03,01.03,54
2024.12.15 01.03,01.03,54
2024.12.15 01.03,01.03,54
2024.12.15 01.04,01.04,54
2024.12.15 01.04,01.04,52
2024.12.15 01.04,01.04,52
2024.12.15 01.04,01.04,52
2024.12.15 01.05,01.05,52
2024.12.15 01.05,01.05,52
2024.12.15 01.05,01.05,52
2024.12.15 01.05,01.05,52
2024.12.15 01.06,01.06,52
2024.12.15 01.06,01.06,54
2024.12.15 01.06,01.06,54
2024.12.15 01.06,01.06,54
2024.12.15 01.07,01.07,54
2024.12.15 01.07,01.07,52
2024.12.15 01.07,01.07,52
2024.12.15 01.07,01.07,52
2024.12.15 01.08,01.08,52
2024.12.15 01.08,01.08,52
2024.12.15 01.08,01.08,52
2024.12.15 01.08,01.08,52
2024.12.15 01.09,01.09,52
2024.12.15 01.09,01.09,55
2024.12.15 01.09,01.09,55
2024.12.15 01.09,01.09,55
2024.12.15 01.10,01.10,55
2024.12.15 01.10,01.10,55
2024.12.15 01.10,01.10,55
2024.12.15 01.10,01.10,55
2024.12.15 01.11,01.11,55
2024.12.15 01.11,01.11,56
2024.12.15 01.11,01.11,56
2024.12.15 01.11,01.11,56
2024.12.15 01.12,01.12,56
2024.12.15 01.12,01.12,57
2024.12.15 01.12,01.12,57
2024.12.15 01.12,01.12,57
2024.12.15 01.13,01.13,57
2024.12.15 01.13,01.13,57
2024.12.15 01.13,01.13,57
2024.12.15 01.13,01.13,57
2024.12.15 01.14,01.14,57
2024.12.15 01.14,01.14,56
2024.12.15 01.14,01.14,56
2024.12.15 01.14,01.14,56
2024.12.15 01.15,01.15,56
2024.12.15 01.15,01.15,64
2024.12.15 01.15,01.15,64
2024.12.15 01.15,01.15,64
2024.12.15 01.16,01.16,64
2024.12.15 01.16,01.16,64
2024.12.15 01.16,01.16,64
2024.12.15 01.16,01.16,64
2024.12.15 01.17,01.17,64
2024.12.15 01.17,01.17,64
2024.12.15 01.17,01.17,64
2024.12.15 01.17,01.17,64
2024.12.15 01.18,01.18,64
2024.12.15 01.18,01.18,60
2024.12.15 01.18,01.18,60
2024.12.15 01.18,01.18,60
2024.12.15 01.19,01.19,60
2024.12.15 01.19,01.19,64
2024.12.15 01.19,01.19,64
2024.12.15 01.19,01.19,64
2024.12.15 01.20,01.20,64
2024.12.15 01.20,01.20,65
2024.12.15 01.20,01.20,65
2024.12.15 01.20,01.20,65
2024.12.15 01.21,01.21,65
2024.12.15 01.21,01.21,65
2024.12.15 01.21,01.21,65
2024.12.15 01.21,01.21,65
2024.12.15 01.22,01.22,65
2024.12.15 01.22,01.22,71
2024.12.15 01.22,01.22,71
2024.12.15 01.22,01.22,71
2024.12.15 01.23,01.23,71
2024.12.15 01.23,01.23,69
2024.12.15 01.23,01.23,69
2024.12.15 01.23,01.23,69
2024.12.15 01.24,01.24,69
2024.12.15 01.24,01.24,62
2024.12.15 01.24,01.24,62
2024.12.15 01.24,01.24,62
2024.12.15 01.25,01.25,62
2024.12.15 01.25,01.25,68
2024.12.15 01.25,01.25,68
2024.12.15 01.25,01.25,68
2024.12.15 01.26,01.26,68
2024.12.15 01.26,01.26,70
2024.12.15 01.26,01.26,70
2024.12.15 01.26,01.26,70
2024.12.15 01.27,01.27,70
2024.12.15 01.27,01.27,58
2024.12.15 01.27,01.27,58
2024.12.15 01.27,01.27,58
2024.12.15 01.28,01.28,58
2024.12.15 01.28,01.28,60
2024.12.15 01.28,01.28,60
2024.12.15 01.28,01.28,60
2024.12.15 01.29,01.29,60
2024.12.15 01.29,01.29,58
2024.12.15 01.29,01.29,58
2024.12.15 01.29,01.29,58
2024.12.15 01.30,01.30,58
2024.12.15 01.30,01.30,57
2024.12.15 01.30,01.30,57
2024.12.15 01.30,01.30,57
2024.12.15 01.31,01.31,57
2024.12.15 01.31,01.31,63
2024.12.15 01.31,01.31,63
2024.12.15 01.31,01.31,63
2024.12.15 01.32,01.32,63
2024.12.15 01.32,01.32,63
2024.12.15 01.32,01.32,63
2024.12.15 01.32,01.32,63
2024.12.15 01.33,01.33,63
2024.12.15 01.33,01.33,64
2024.12.15 01.33,01.33,64
2024.12.15 01.33,01.33,64
2024.12.15 01.34,01.34,64
2024.12.15 01.34,01.34,60
2024.12.15 01.34,01.34,60
2024.12.15 01.34,01.34,60
2024.12.15 01.35,01.35,60
2024.12.15 01.35,01.35,59
2024.12.15 01.35,01.35,59
2024.12.15 01.35,01.35,59
2024.12.15 01.36,01.36,59
2024.12.15 01.36,01.36,64
2024.12.15 01.36,01.36,64
2024.12.15 01.36,01.36,64
2024.12.15 01.37,01.37,64
2024.12.15 01.37,01.37,68
2024.12.15 01.37,01.37,68
2024.12.15 01.37,01.37,68
2024.12.15 01.38,01.38,68
2024.12.15 01.38,01.38,56
2024.12.15 01.38,01.38,56
2024.12.15 01.38,01.38,56
2024.12.15 01.39,01.39,56
2024.12.15 01.39,01.39,61
2024.12.15 01.39,01.39,61
2024.12.15 01.39,01.39,61
2024.12.15 01.40,01.40,61
2024.12.15 01.40,01.40,58
2024.12.15 01.40,01.40,58
2024.12.15 01.40,01.40,58
2024.12.15 01.41,01.41,58
2024.12.15 01.41,01.41,59
2024.12.15 01.41,01.41,59
2024.12.15 01.41,01.41,59
2024.12.15 01.42,01.42,59
2024.12.15 01.42,01.42,54
2024.12.15 01.42,01.42,54
2024.12.15 01.42,01.42,54
2024.12.15 01.43,01.43,54
2024.12.15 01.43,01.43,55
2024.12.15 01.43,01.43,55
2024.12.15 01.43,01.43,55
2024.12.15 01.44,01.44,55
2024.12.15 01.44,01.44,60
2024.12.15 01.44,01.44,60
2024.12.15 01.44,01.44,60
2024.12.15 01.45,01.45,60
2024.12.15 01.45,01.45,62
2024.12.15 01.45,01.45,62
2024.12.15 01.45,01.45,62
2024.12.15 01.46,01.46,62
2024.12.15 01.46,01.46,69
2024.12.15 01.46,01.46,69
2024.12.15 01.46,01.46,69
2024.12.15 01.47,01.47,69
2024.12.15 01.47,01.47,69
2024.12.15 01.47,01.47,69
2024.12.15 01.47,01.47,69
2024.12.15 01.48,01.48,69
2024.12.15 01.48,01.48,65
2024.12.15 01.48,01.48,65
2024.12.15 01.48,01.48,65
2024.12.15 01.49,01.49,65
2024.12.15 01.49,01.49,58
2024.12.15 01.49,01.49,58
2024.12.15 01.49,01.49,58
2024.12.15 01.50,01.50,58
2024.12.15 01.50,01.50,55
2024.12.15 01.50,01.50,55
2024.12.15 01.50,01.50,55
2024.12.15 01.51,01.51,55
2024.12.15 01.51,01.51,59
2024.12.15 01.51,01.51,59
2024.12.15 01.51,01.51,59
2024.12.15 01.52,01.52,59
2024.12.15 01.52,01.52,55
2024.12.15 01.52,01.52,55
2024.12.15 01.52,01.52,55
2024.12.15 01.53,01.53,55
2024.12.15 01.53,01.53,55
2024.12.15 01.53,01.53,55
2024.12.15 01.53,01.53,55
2024.12.15 01.54,01.54,55
2024.12.15 01.54,01.54,52
2024.12.15 01.54,01.54,52
2024.12.15 01.54,01.54,52
2024.12.15 01.55,01.55,52
2024.12.15 01.55,01.55,53
2024.12.15 01.55,01.55,53
2024.12.15 01.55,01.55,53
2024.12.15 01.56,01.56,53
2024.12.15 01.56,01.56,51
2024.12.15 01.56,01.56,51
2024.12.15 01.56,01.56,51
2024.12.15 01.57,01.57,51
2024.12.15 01.57,01.57,52
2024.12.15 01.57,01.57,52
2024.12.15 01.57,01.57,52
