Date,Time,Heart rate
2024.12.10 00.00,00.00,61
2024.12.10 00.00,00.00,61
2024.12.10 00.00,00.00,61
2024.12.10 00.01,00.01,61
2024.12.10 00.01,00.01,61
2024.12.10 00.01,00.01,61
2024.12.10 00.01,00.01,61
2024.12.10 00.02,00.02,61
2024.12.10 00.02,00.02,53
2024.12.10 00.02,00.02,53
2024.12.10 00.02,00.02,53
2024.12.10 00.03,00.03,53
2024.12.10 00.03,00.03,62
2024.12.10 00.03,00.03,62
2024.12.10 00.03,00.03,62
2024.12.10 00.04,00.04,62
2024.12.10 00.04,00.04,56
2024.12.10 00.04,00.04,56
2024.12.10 00.04,00.04,56
2024.12.10 00.05,00.05,56
2024.12.10 00.05,00.05,61
2024.12.10 00.05,00.05,61
2024.12.10 00.05,00.05,61
2024.12.10 00.06,00.06,61
2024.12.10 00.06,00.06,60
2024.12.10 00.06,00.06,60
2024.12.10 00.06,00.06,60
2024.12.10 00.07,00.07,60
2024.12.10 00.07,00.07,54
2024.12.10 00.07,00.07,54
2024.12.10 00.07,00.07,54
2024.12.10 00.08,00.08,54
2024.12.10 00.08,00.08,59
2024.12.10 00.08,00.08,59
2024.12.10 00.08,00.08,59
2024.12.10 00.09,00.09,59
2024.12.10 00.09,00.09,65
2024.12.10 00.09,00.09,65
2024.12.10 00.09,00.09,65
2024.12.10 00.10,00.10,65
2024.12.10 00.10,00.10,62
2024.12.10 00.10,00.10,62
2024.12.10 00.10,00.10,62
2024.12.10 00.11,00.11,62
2024.12.10 00.11,00.11,61
2024.12.10 00.11,00.11,61
2024.12.10 00.11,00.11,61
2024.12.10 00.12,00.12,61
2024.12.10 00.12,00.12,61
2024.12.10 00.12,00.12,61
2024.12.10 00.12,00.12,61
2024.12.10 00.13,00.13,61
2024.12.10 00.13,00.13,63
2024.12.10 00.13,00.13,63
2024.12.10 00.13,00.13,63
2024.12.10 00.14,00.14,63
2024.12.10 00.14,00.14,58
2024.12.10 00.14,00.14,58
2024.12.10 00.14,00.14,58
2024.12.10 00.15,00.15,58
2024.12.10 00.15,00.15,55
2024.12.10 00.15,00.15,55
2024.12.10 00.15,00.15,55
2024.12.10 00.16,00.16,55
2024.12.10 00.16,00.16,59
2024.12.10 00.16,00.16,59
2024.12.10 00.16,00.16,59
2024.12.10 00.17,00.17,59
2024.12.10 00.17,00.17,55
2024.12.10 00.17,00.17,55
2024.12.10 00.17,00.17,55
2024.12.10 00.18,00.18,55
2024.12.10 00.18,00.18,51
2024.12.10 00.18,00.18,51
2024.12.10 00.18,00.18,51
2024.12.10 00.19,00.19,51
2024.12.10 00.19,00.19,55
2024.12.10 00.19,00.19,55
2024.12.10 00.19,00.19,55
2024.12.10 00.20,00.20,55
2024.12.10 00.20,00.20,55
2024.12.10 00.20,00.20,55
2024.12.10 00.20,00.20,55
2024.12.10 00.21,00.21,55
2024.12.10 00.21,00.21,57
