Date,Time,Heart rate
2024.12.16 00.46,00.46,61
2024.12.16 00.47,00.47,61
2024.12.16 00.47,00.47,55
2024.12.16 00.47,00.47,55
2024.12.16 00.47,00.47,55
2024.12.16 00.48,00.48,55
2024.12.16 00.48,00.48,53
2024.12.16 00.48,00.48,53
2024.12.16 00.48,00.48,53
2024.12.16 00.49,00.49,53
2024.12.16 00.49,00.49,53
2024.12.16 00.49,00.49,53
2024.12.16 00.49,00.49,53
2024.12.16 00.50,00.50,53
2024.12.16 00.50,00.50,57
2024.12.16 00.50,00.50,57
2024.12.16 00.50,00.50,57
2024.12.16 00.51,00.51,57
2024.12.16 00.51,00.51,52
2024.12.16 00.51,00.51,52
2024.12.16 00.51,00.51,52
2024.12.16 00.52,00.52,52
2024.12.16 00.52,00.52,56
2024.12.16 00.52,00.52,56
2024.12.16 00.52,00.52,56
2024.12.16 00.53,00.53,56
2024.12.16 00.53,00.53,54
2024.12.16 00.53,00.53,54
2024.12.16 00.53,00.53,54
2024.12.16 00.54,00.54,54
2024.12.16 00.54,00.54,56
2024.12.16 00.54,00.54,56
2024.12.16 00.54,00.54,56
2024.12.16 00.55,00.55,56
2024.12.16 00.55,00.55,55
2024.12.16 00.55,00.55,55
2024.12.16 00.55,00.55,55
2024.12.16 00.56,00.56,55
2024.12.16 00.56,00.56,56
2024.12.16 00.56,00.56,56
2024.12.16 00.56,00.56,56
2024.12.16 00.57,00.57,56
2024.12.16 00.57,00.57,54
2024.12.16 00.57,00.57,54
2024.12.16 00.57,00.57,54
2024.12.16 00.58,00.58,54
2024.12.16 00.58,00.58,54
2024.12.16 00.58,00.58,54
2024.12.16 00.58,00.58,54
2024.12.16 00.59,00.59,54
2024.12.16 00.59,00.59,56
2024.12.16 00.59,00.59,56
2024.12.16 00.59,00.59,56
2024.12.16 01.00,01.00,56
2024.12.16 01.00,01.00,55
2024.12.16 01.00,01.00,55
2024.12.16 01.00,01.00,55
2024.12.16 01.01,01.01,55
2024.12.16 01.01,01.01,54
2024.12.16 01.01,01.01,54
2024.12.16 01.01,01.01,54
2024.12.16 01.02,01.02,54
2024.12.16 01.02,01.02,57
2024.12.16 01.02,01.02,57
2024.12.16 01.02,01.02,57
2024.12.16 01.03,01.03,57
2024.12.16 01.03,01.03,55
2024.12.16 01.03,01.03,55
2024.12.16 01.03,01.03,55
2024.12.16 01.04,01.04,55
2024.12.16 01.04,01.04,56
2024.12.16 01.04,01.04,56
2024.12.16 01.04,01.04,56
2024.12.16 01.05,01.05,56
2024.12.16 01.05,01.05,55
2024.12.16 01.05,01.05,55
2024.12.16 01.05,01.05,55
2024.12.16 01.06,01.06,55
2024.12.16 01.06,01.06,56
2024.12.16 01.06,01.06,56
2024.12.16 01.06,01.06,56
2024.12.16 01.07,01.07,56
2024.12.16 01.07,01.07,56
2024.12.16 01.07,01.07,56
2024.12.16 01.07,01.07,56
2024.12.16 01.08,01.08,56
2024.12.16 01.08,01.08,63
2024.12.16 01.08,01.08,63
2024.12.16 01.08,01.08,63
2024.12.16 01.09,01.09,63
2024.12.16 01.09,01.09,53
2024.12.16 01.09,01.09,53
2024.12.16 01.09,01.09,53
2024.12.16 01.10,01.10,53
2024.12.16 01.10,01.10,55
2024.12.16 01.10,01.10,55
2024.12.16 01.10,01.10,55
2024.12.16 01.11,01.11,55
2024.12.16 01.11,01.11,53
2024.12.16 01.11,01.11,53
2024.12.16 01.11,01.11,53
2024.12.16 01.12,01.12,53
2024.12.16 01.12,01.12,52
2024.12.16 01.12,01.12,52
2024.12.16 01.12,01.12,52
2024.12.16 01.13,01.13,52
2024.12.16 01.13,01.13,51
2024.12.16 01.13,01.13,51
2024.12.16 01.13,01.13,51
2024.12.16 01.14,01.14,51
2024.12.16 01.14,01.14,52
2024.12.16 01.14,01.14,52
2024.12.16 01.14,01.14,52
2024.12.16 01.15,01.15,52
2024.12.16 01.15,01.15,52
2024.12.16 01.15,01.15,52
2024.12.16 01.15,01.15,52
2024.12.16 01.16,01.16,52
2024.12.16 01.16,01.16,53
2024.12.16 01.16,01.16,53
2024.12.16 01.16,01.16,53
2024.12.16 01.17,01.17,53
2024.12.16 01.17,01.17,52
2024.12.16 01.17,01.17,52
2024.12.16 01.17,01.17,52
2024.12.16 01.18,01.18,52
2024.12.16 01.18,01.18,61
2024.12.16 01.18,01.18,61
2024.12.16 01.18,01.18,61
2024.12.16 01.19,01.19,61
2024.12.16 01.19,01.19,55
2024.12.16 01.19,01.19,55
2024.12.16 01.19,01.19,55
2024.12.16 01.20,01.20,55
2024.12.16 01.20,01.20,53
2024.12.16 01.20,01.20,53
2024.12.16 01.20,01.20,53
2024.12.16 01.21,01.21,53
2024.12.16 01.21,01.21,54
2024.12.16 01.21,01.21,54
2024.12.16 01.21,01.21,54
2024.12.16 01.22,01.22,54
2024.12.16 01.22,01.22,57
2024.12.16 01.22,01.22,57
2024.12.16 01.22,01.22,57
2024.12.16 01.23,01.23,57
2024.12.16 01.23,01.23,53
2024.12.16 01.23,01.23,53
2024.12.16 01.23,01.23,53
2024.12.16 01.24,01.24,53
2024.12.16 01.24,01.24,53
2024.12.16 01.24,01.24,53
2024.12.16 01.24,01.24,53
2024.12.16 01.25,01.25,53
2024.12.16 01.25,01.25,53
2024.12.16 01.25,01.25,53
2024.12.16 01.25,01.25,53
2024.12.16 01.26,01.26,53
2024.12.16 01.26,01.26,52
2024.12.16 01.26,01.26,52
2024.12.16 01.26,01.26,52
2024.12.16 01.27,01.27,52
2024.12.16 01.27,01.27,52
2024.12.16 01.27,01.27,52
2024.12.16 01.27,01.27,52
2024.12.16 01.28,01.28,52
2024.12.16 01.28,01.28,53
2024.12.16 01.28,01.28,53
2024.12.16 01.28,01.28,53
2024.12.16 01.29,01.29,53
2024.12.16 01.29,01.29,50
2024.12.16 01.29,01.29,50
2024.12.16 01.29,01.29,50
2024.12.16 01.30,01.30,50
2024.12.16 01.30,01.30,50
2024.12.16 01.30,01.30,50
2024.12.16 01.30,01.30,50
2024.12.16 01.31,01.31,50
2024.12.16 01.31,01.31,52
2024.12.16 01.31,01.31,52
2024.12.16 01.31,01.31,52
2024.12.16 01.32,01.32,52
2024.12.16 01.32,01.32,52
2024.12.16 01.32,01.32,52
2024.12.16 01.32,01.32,52
2024.12.16 01.33,01.33,52
2024.12.16 01.33,01.33,52
2024.12.16 01.33,01.33,52
2024.12.16 01.33,01.33,52
2024.12.16 01.34,01.34,52
2024.12.16 01.34,01.34,50
2024.12.16 01.34,01.34,50
2024.12.16 01.34,01.34,50
2024.12.16 01.35,01.35,50
2024.12.16 01.35,01.35,50
2024.12.16 01.35,01.35,50
2024.12.16 01.35,01.35,50
2024.12.16 01.36,01.36,50
2024.12.16 01.36,01.36,52
2024.12.16 01.36,01.36,52
2024.12.16 01.36,01.36,52
2024.12.16 01.37,01.37,52
2024.12.16 01.37,01.37,51
2024.12.16 01.37,01.37,51
2024.12.16 01.37,01.37,51
2024.12.16 01.38,01.38,51
2024.12.16 01.38,01.38,51
2024.12.16 01.38,01.38,51
2024.12.16 01.38,01.38,51
2024.12.16 01.39,01.39,51
2024.12.16 01.39,01.39,52
2024.12.16 01.39,01.39,52
2024.12.16 01.39,01.39,52
2024.12.16 01.40,01.40,52
2024.12.16 01.40,01.40,59
2024.12.16 01.40,01.40,59
2024.12.16 01.40,01.40,59
2024.12.16 01.41,01.41,59
2024.12.16 01.41,01.41,72
2024.12.16 01.41,01.41,72
2024.12.16 01.41,01.41,72
2024.12.16 01.42,01.42,72
2024.12.16 01.42,01.42,53
2024.12.16 01.42,01.42,53
2024.12.16 01.42,01.42,53
2024.12.16 01.43,01.43,53
2024.12.16 01.43,01.43,52
2024.12.16 01.43,01.43,52
2024.12.16 01.43,01.43,52
2024.12.16 01.44,01.44,52
2024.12.16 01.44,01.44,53
2024.12.16 01.44,01.44,53
2024.12.16 01.44,01.44,53
2024.12.16 01.45,01.45,53
2024.12.16 01.45,01.45,51
2024.12.16 01.45,01.45,51
2024.12.16 01.45,01.45,51
2024.12.16 01.46,01.46,51
2024.12.16 01.46,01.46,49
2024.12.16 01.46,01.46,49
2024.12.16 01.46,01.46,49
2024.12.16 01.47,01.47,49
2024.12.16 01.47,01.47,52
2024.12.16 01.47,01.47,52
2024.12.16 01.47,01.47,52
2024.12.16 01.48,01.48,52
2024.12.16 01.48,01.48,50
2024.12.16 01.48,01.48,50
2024.12.16 01.48,01.48,50
2024.12.16 01.49,01.49,50
2024.12.16 01.49,01.49,55
2024.12.16 01.49,01.49,55
2024.12.16 01.49,01.49,55
2024.12.16 01.50,01.50,55
2024.12.16 01.50,01.50,54
2024.12.16 01.50,01.50,54
2024.12.16 01.50,01.50,54
2024.12.16 01.51,01.51,54
2024.12.16 01.51,01.51,58
