Date,Time,Heart rate,Source
2025.10.14 02:46:00,02:46:00,51,com.garmin.android.apps.connectmobile
2025.10.14 02:48:00,02:48:00,50,com.garmin.android.apps.connectmobile
2025.10.14 02:50:00,02:50:00,52,com.garmin.android.apps.connectmobile
2025.10.14 02:52:00,02:52:00,50,com.garmin.android.apps.connectmobile
2025.10.14 02:54:00,02:54:00,51,com.garmin.android.apps.connectmobile
2025.10.14 02:56:00,02:56:00,51,com.garmin.android.apps.connectmobile
2025.10.14 02:58:00,02:58:00,55,com.garmin.android.apps.connectmobile
2025.10.14 03:00:00,03:00:00,62,com.garmin.android.apps.connectmobile
2025.10.14 03:02:00,03:02:00,57,com.garmin.android.apps.connectmobile
2025.10.14 03:04:00,03:04:00,50,com.garmin.android.apps.connectmobile
2025.10.14 03:06:00,03:06:00,62,com.garmin.android.apps.connectmobile
2025.10.14 03:08:00,03:08:00,58,com.garmin.android.apps.connectmobile
2025.10.14 03:10:00,03:10:00,53,com.garmin.android.apps.connectmobile
2025.10.14 03:12:00,03:12:00,53,com.garmin.android.apps.connectmobile
2025.10.14 03:14:00,03:14:00,53,com.garmin.android.apps.connectmobile
2025.10.14 03:16:00,03:16:00,57,com.garmin.android.apps.connectmobile
2025.10.14 03:18:00,03:18:00,53,com.garmin.android.apps.connectmobile
2025.10.14 03:20:00,03:20:00,50,com.garmin.android.apps.connectmobile
2025.10.14 03:22:00,03:22:00,52,com.garmin.android.apps.connectmobile
2025.10.14 03:24:00,03:24:00,50,com.garmin.android.apps.connectmobile
2025.10.14 03:26:00,03:26:00,51,com.garmin.android.apps.connectmobile
2025.10.14 03:28:00,03:28:00,50,com.garmin.android.apps.connectmobile
2025.10.14 03:30:00,03:30:00,51,com.garmin.android.apps.connectmobile
2025.10.14 03:32:00,03:32:00,51,com.garmin.android.apps.connectmobile
2025.10.14 03:34:00,03:34:00,51,com.garmin.android.apps.connectmobile
2025.10.14 03:36:00,03:36:00,53,com.garmin.android.apps.connectmobile
2025.10.14 03:38:00,03:38:00,52,com.garmin.android.apps.connectmobile
2025.10.14 03:40:00,03:40:00,55,com.garmin.android.apps.connectmobile
2025.10.14 03:42:00,03:42:00,70,com.garmin.android.apps.connectmobile
2025.10.14 03:44:00,03:44:00,65,com.garmin.android.apps.connectmobile
2025.10.14 03:46:00,03:46:00,64,com.garmin.android.apps.connectmobile
2025.10.14 03:48:00,03:48:00,68,com.garmin.android.apps.connectmobile
2025.10.14 03:50:00,03:50:00,88,com.garmin.android.apps.connectmobile
2025.10.14 03:52:00,03:52:00,78,com.garmin.android.apps.connectmobile
2025.10.14 03:54:00,03:54:00,66,com.garmin.android.apps.connectmobile
2025.10.14 03:56:00,03:56:00,67,com.garmin.android.apps.connectmobile
2025.10.14 03:58:00,03:58:00,52,com.garmin.android.apps.connectmobile
2025.10.14 04:00:00,04:00:00,50,com.garmin.android.apps.connectmobile
2025.10.14 04:02:00,04:02:00,49,com.garmin.android.apps.connectmobile
2025.10.14 04:04:00,04:04:00,51,com.garmin.android.apps.connectmobile
2025.10.14 04:06:00,04:06:00,49,com.garmin.android.apps.connectmobile
2025.10.14 04:08:00,04:08:00,50,com.garmin.android.apps.connectmobile
2025.10.14 04:10:00,04:10:00,51,com.garmin.android.apps.connectmobile
2025.10.14 04:12:00,04:12:00,50,com.garmin.android.apps.connectmobile
2025.10.14 04:14:00,04:14:00,53,com.garmin.android.apps.connectmobile
2025.10.14 04:16:00,04:16:00,52,com.garmin.android.apps.connectmobile
2025.10.14 04:18:00,04:18:00,52,com.garmin.android.apps.connectmobile
2025.10.14 04:20:00,04:20:00,52,com.garmin.android.apps.connectmobile
2025.10.14 04:22:00,04:22:00,53,com.garmin.android.apps.connectmobile
2025.10.14 04:24:00,04:24:00,54,com.garmin.android.apps.connectmobile
2025.10.14 04:26:00,04:26:00,54,com.garmin.android.apps.connectmobile
2025.10.14 04:28:00,04:28:00,54,com.garmin.android.apps.connectmobile
2025.10.14 04:30:00,04:30:00,52,com.garmin.android.apps.connectmobile
2025.10.14 04:32:00,04:32:00,53,com.garmin.android.apps.connectmobile
2025.10.14 04:34:00,04:34:00,54,com.garmin.android.apps.connectmobile
2025.10.14 04:36:00,04:36:00,54,com.garmin.android.apps.connectmobile
2025.10.14 04:38:00,04:38:00,55,com.garmin.android.apps.connectmobile
2025.10.14 04:40:00,04:40:00,55,com.garmin.android.apps.connectmobile
2025.10.14 04:42:00,04:42:00,56,com.garmin.android.apps.connectmobile
2025.10.14 04:44:00,04:44:00,55,com.garmin.android.apps.connectmobile
2025.10.14 04:46:00,04:46:00,56,com.garmin.android.apps.connectmobile
2025.10.14 04:48:00,04:48:00,56,com.garmin.android.apps.connectmobile
2025.10.14 04:50:00,04:50:00,55,com.garmin.android.apps.connectmobile
2025.10.14 04:52:00,04:52:00,56,com.garmin.android.apps.connectmobile
2025.10.14 04:54:00,04:54:00,55,com.garmin.android.apps.connectmobile
2025.10.14 04:56:00,04:56:00,56,com.garmin.android.apps.connectmobile
2025.10.14 04:58:00,04:58:00,56,com.garmin.android.apps.connectmobile
2025.10.14 05:00:00,05:00:00,56,com.garmin.android.apps.connectmobile
2025.10.14 05:02:00,05:02:00,57,com.garmin.android.apps.connectmobile
2025.10.14 05:04:00,05:04:00,56,com.garmin.android.apps.connectmobile
2025.10.14 05:06:00,05:06:00,51,com.garmin.android.apps.connectmobile
2025.10.14 05:08:00,05:08:00,55,com.garmin.android.apps.connectmobile
2025.10.14 05:10:00,05:10:00,65,com.garmin.android.apps.connectmobile
2025.10.14 05:12:00,05:12:00,68,com.garmin.android.apps.connectmobile
2025.10.14 05:14:00,05:14:00,74,com.garmin.android.apps.connectmobile
2025.10.14 05:16:00,05:16:00,67,com.garmin.android.apps.connectmobile
2025.10.14 05:18:00,05:18:00,66,com.garmin.android.apps.connectmobile
2025.10.14 05:20:00,05:20:00,66,com.garmin.android.apps.connectmobile
2025.10.14 05:22:00,05:22:00,60,com.garmin.android.apps.connectmobile
2025.10.14 05:24:00,05:24:00,62,com.garmin.android.apps.connectmobile
2025.10.14 05:26:00,05:26:00,58,com.garmin.android.apps.connectmobile
2025.10.14 05:28:00,05:28:00,61,com.garmin.android.apps.connectmobile
2025.10.14 05:30:00,05:30:00,61,com.garmin.android.apps.connectmobile
2025.10.14 05:32:00,05:32:00,55,com.garmin.android.apps.connectmobile
2025.10.14 05:34:00,05:34:00,59,com.garmin.android.apps.connectmobile
2025.10.14 05:36:00,05:36:00,54,com.garmin.android.apps.connectmobile
2025.10.14 05:38:00,05:38:00,58,com.garmin.android.apps.connectmobile
2025.10.14 05:40:00,05:40:00,59,com.garmin.android.apps.connectmobile
2025.10.14 05:42:00,05:42:00,67,com.garmin.android.apps.connectmobile
2025.10.14 05:44:00,05:44:00,65,com.garmin.android.apps.connectmobile
2025.10.14 05:46:00,05:46:00,56,com.garmin.android.apps.connectmobile
2025.10.14 05:48:00,05:48:00,57,com.garmin.android.apps.connectmobile
2025.10.14 05:50:00,05:50:00,58,com.garmin.android.apps.connectmobile
2025.10.14 05:52:00,05:52:00,55,com.garmin.android.apps.connectmobile
2025.10.14 05:54:00,05:54:00,59,com.garmin.android.apps.connectmobile
2025.10.14 05:56:00,05:56:00,58,com.garmin.android.apps.connectmobile
2025.10.14 05:58:00,05:58:00,57,com.garmin.android.apps.connectmobile
2025.10.14 06:00:00,06:00:00,54,com.garmin.android.apps.connectmobile
2025.10.14 06:02:00,06:02:00,53,com.garmin.android.apps.connectmobile
2025.10.14 06:04:00,06:04:00,65,com.garmin.android.apps.connectmobile
2025.10.14 06:06:00,06:06:00,53,com.garmin.android.apps.connectmobile
2025.10.14 06:08:00,06:08:00,51,com.garmin.android.apps.connectmobile
2025.10.14 06:10:00,06:10:00,51,com.garmin.android.apps.connectmobile
2025.10.14 06:12:00,06:12:00,53,com.garmin.android.apps.connectmobile
