Date,Time,heart rate variability
2025.11.12 00:03:25,00:03:25,67.0
2025.11.12 00:08:25,00:08:25,76.0
2025.11.12 00:13:25,00:13:25,75.0
2025.11.12 00:18:25,00:18:25,76.0
2025.11.12 00:23:25,00:23:25,61.0
2025.11.12 00:28:25,00:28:25,66.0
2025.11.12 00:33:25,00:33:25,80.0
2025.11.12 00:38:25,00:38:25,97.0
2025.11.12 00:43:25,00:43:25,71.0
2025.11.12 00:48:25,00:48:25,61.0
2025.11.12 00:53:25,00:53:25,61.0
2025.11.12 00:58:25,00:58:25,77.0
2025.11.12 01:03:25,01:03:25,78.0
2025.11.12 01:08:25,01:08:25,79.0
2025.11.12 01:13:25,01:13:25,58.0
2025.11.12 01:18:25,01:18:25,72.0
2025.11.12 01:23:25,01:23:25,87.0
2025.11.12 01:28:25,01:28:25,75.0
2025.11.12 01:33:25,01:33:25,70.0
2025.11.12 01:38:25,01:38:25,68.0
2025.11.12 01:43:25,01:43:25,78.0
2025.11.12 01:48:25,01:48:25,79.0
2025.11.12 01:53:25,01:53:25,74.0
2025.11.12 01:58:25,01:58:25,82.0
2025.11.12 02:03:25,02:03:25,77.0
2025.11.12 02:08:25,02:08:25,78.0
2025.11.12 02:13:25,02:13:25,68.0
2025.11.12 02:18:25,02:18:25,73.0
2025.11.12 02:23:25,02:23:25,78.0
2025.11.12 02:28:25,02:28:25,62.0
2025.11.12 02:33:25,02:33:25,74.0
2025.11.12 02:38:25,02:38:25,55.0
2025.11.12 02:43:33,02:43:33,67.0
2025.11.12 02:48:25,02:48:25,71.0
2025.11.12 02:53:25,02:53:25,70.0
2025.11.12 02:58:25,02:58:25,66.0
2025.11.12 03:03:25,03:03:25,83.0
2025.11.12 03:08:25,03:08:25,76.0
2025.11.12 03:13:25,03:13:25,47.0
2025.11.12 03:18:25,03:18:25,42.0
2025.11.12 03:23:25,03:23:25,68.0
2025.11.12 03:28:25,03:28:25,51.0
2025.11.12 03:33:25,03:33:25,51.0
2025.11.12 03:38:25,03:38:25,68.0
2025.11.12 03:43:25,03:43:25,77.0
2025.11.12 03:48:25,03:48:25,83.0
2025.11.12 03:53:25,03:53:25,81.0
2025.11.12 03:58:25,03:58:25,71.0
2025.11.12 04:03:25,04:03:25,84.0
2025.11.12 04:08:25,04:08:25,66.0
2025.11.12 04:13:25,04:13:25,77.0
2025.11.12 04:18:25,04:18:25,78.0
2025.11.12 04:23:25,04:23:25,86.0
2025.11.12 04:28:25,04:28:25,79.0
2025.11.12 04:33:25,04:33:25,86.0
2025.11.12 04:38:25,04:38:25,70.0
2025.11.12 04:43:25,04:43:25,72.0
2025.11.12 04:48:25,04:48:25,74.0
2025.11.12 04:53:25,04:53:25,67.0
2025.11.12 04:58:25,04:58:25,75.0
2025.11.12 05:03:25,05:03:25,83.0
2025.11.12 05:08:25,05:08:25,74.0
2025.11.12 05:13:25,05:13:25,58.0
2025.11.12 05:18:25,05:18:25,50.0
2025.11.12 05:23:25,05:23:25,79.0
2025.11.12 05:28:25,05:28:25,62.0
2025.11.12 05:33:25,05:33:25,55.0
2025.11.12 05:38:25,05:38:25,57.0
2025.11.12 05:43:25,05:43:25,92.0
2025.11.12 05:48:25,05:48:25,94.0
2025.11.12 05:53:25,05:53:25,82.0
2025.11.12 05:58:25,05:58:25,79.0
2025.11.12 06:03:25,06:03:25,69.0
2025.11.12 22:28:25,22:28:25,67.0
2025.11.12 22:33:25,22:33:25,45.0
2025.11.12 22:38:25,22:38:25,77.0
2025.11.12 22:43:25,22:43:25,78.0
2025.11.12 22:48:25,22:48:25,72.0
2025.11.12 22:53:25,22:53:25,67.0
2025.11.12 22:58:25,22:58:25,86.0
2025.11.12 23:03:25,23:03:25,76.0
2025.11.12 23:08:25,23:08:25,73.0
2025.11.12 23:13:25,23:13:25,78.0
2025.11.12 23:18:25,23:18:25,79.0
2025.11.12 23:23:25,23:23:25,80.0
2025.11.12 23:28:25,23:28:25,74.0
2025.11.12 23:33:25,23:33:25,74.0
2025.11.12 23:38:25,23:38:25,62.0
2025.11.12 23:43:25,23:43:25,68.0
2025.11.12 23:48:25,23:48:25,59.0
2025.11.12 23:53:25,23:53:25,58.0
2025.11.12 23:58:25,23:58:25,53.0
