Date,Time,Heart rate
2024.12.21 00.00,00.00,55
2024.12.21 00.00,00.00,55
2024.12.21 00.00,00.00,55
2024.12.21 00.01,00.01,55
2024.12.21 00.01,00.01,55
2024.12.21 00.01,00.01,55
2024.12.21 00.01,00.01,55
2024.12.21 00.02,00.02,55
2024.12.21 00.02,00.02,55
2024.12.21 00.02,00.02,55
2024.12.21 00.02,00.02,55
2024.12.21 00.03,00.03,55
2024.12.21 00.03,00.03,54
2024.12.21 00.03,00.03,54
2024.12.21 00.03,00.03,54
2024.12.21 00.04,00.04,54
2024.12.21 00.04,00.04,55
2024.12.21 00.04,00.04,55
2024.12.21 00.04,00.04,55
2024.12.21 00.05,00.05,55
2024.12.21 00.05,00.05,55
2024.12.21 00.05,00.05,55
2024.12.21 00.05,00.05,55
2024.12.21 00.06,00.06,55
2024.12.21 00.06,00.06,54
2024.12.21 00.06,00.06,54
2024.12.21 00.06,00.06,54
2024.12.21 00.07,00.07,54
2024.12.21 00.07,00.07,56
2024.12.21 00.07,00.07,56
2024.12.21 00.07,00.07,56
2024.12.21 00.08,00.08,56
2024.12.21 00.08,00.08,54
2024.12.21 00.08,00.08,54
2024.12.21 00.08,00.08,54
2024.12.21 00.09,00.09,54
2024.12.21 00.09,00.09,54
2024.12.21 00.09,00.09,54
2024.12.21 00.09,00.09,54
2024.12.21 00.10,00.10,54
2024.12.21 00.10,00.10,55
2024.12.21 00.10,00.10,55
2024.12.21 00.10,00.10,55
2024.12.21 00.11,00.11,55
2024.12.21 00.11,00.11,55
2024.12.21 00.11,00.11,55
2024.12.21 00.11,00.11,55
2024.12.21 00.12,00.12,55
2024.12.21 00.12,00.12,55
2024.12.21 00.12,00.12,55
2024.12.21 00.12,00.12,55
2024.12.21 00.13,00.13,55
2024.12.21 00.13,00.13,55
2024.12.21 00.13,00.13,55
2024.12.21 00.13,00.13,55
2024.12.21 00.14,00.14,55
2024.12.21 00.14,00.14,55
2024.12.21 00.14,00.14,55
2024.12.21 00.14,00.14,55
2024.12.21 00.15,00.15,55
2024.12.21 00.15,00.15,62
2024.12.21 00.15,00.15,62
2024.12.21 00.15,00.15,62
2024.12.21 00.16,00.16,62
2024.12.21 00.16,00.16,50
2024.12.21 00.16,00.16,50
2024.12.21 00.16,00.16,50
2024.12.21 00.17,00.17,50
2024.12.21 00.17,00.17,53
2024.12.21 00.17,00.17,53
2024.12.21 00.17,00.17,53
2024.12.21 00.18,00.18,53
2024.12.21 00.18,00.18,50
2024.12.21 00.18,00.18,50
