Date,Time,Heart rate,Source
2025.11.04 00:00:00,00:00:00,62,nl.appyhapps.healthsync
2025.11.04 00:00:00,00:00:00,57,com.garmin.android.apps.connectmobile
2025.11.04 00:00:15,00:00:15,57,nl.appyhapps.healthsync
2025.11.04 00:00:30,00:00:30,57,nl.appyhapps.healthsync
2025.11.04 00:00:45,00:00:45,57,nl.appyhapps.healthsync
2025.11.04 00:01:00,00:01:00,57,nl.appyhapps.healthsync
2025.11.04 00:01:15,00:01:15,57,nl.appyhapps.healthsync
2025.11.04 00:01:30,00:01:30,57,nl.appyhapps.healthsync
2025.11.04 00:01:45,00:01:45,57,nl.appyhapps.healthsync
2025.11.04 00:02:00,00:02:00,57,nl.appyhapps.healthsync
2025.11.04 00:02:15,00:02:15,68,nl.appyhapps.healthsync
2025.11.04 00:02:30,00:02:30,68,nl.appyhapps.healthsync
2025.11.04 00:02:45,00:02:45,68,nl.appyhapps.healthsync
2025.11.04 00:03:00,00:03:00,68,nl.appyhapps.healthsync
2025.11.04 00:03:15,00:03:15,71,nl.appyhapps.healthsync
2025.11.04 00:03:30,00:03:30,71,nl.appyhapps.healthsync
2025.11.04 00:03:45,00:03:45,71,nl.appyhapps.healthsync
2025.11.04 00:04:00,00:04:00,71,nl.appyhapps.healthsync
2025.11.04 00:04:15,00:04:15,69,nl.appyhapps.healthsync
2025.11.04 00:04:30,00:04:30,69,nl.appyhapps.healthsync
2025.11.04 00:04:45,00:04:45,69,nl.appyhapps.healthsync
2025.11.04 00:05:00,00:05:00,69,nl.appyhapps.healthsync
2025.11.04 00:05:15,00:05:15,65,nl.appyhapps.healthsync
2025.11.04 00:05:30,00:05:30,65,nl.appyhapps.healthsync
2025.11.04 00:05:45,00:05:45,65,nl.appyhapps.healthsync
2025.11.04 00:06:00,00:06:00,65,nl.appyhapps.healthsync
2025.11.04 00:06:15,00:06:15,66,nl.appyhapps.healthsync
2025.11.04 00:06:30,00:06:30,66,nl.appyhapps.healthsync
2025.11.04 00:06:45,00:06:45,66,nl.appyhapps.healthsync
2025.11.04 00:07:00,00:07:00,66,nl.appyhapps.healthsync
2025.11.04 00:07:15,00:07:15,56,nl.appyhapps.healthsync
2025.11.04 00:07:30,00:07:30,56,nl.appyhapps.healthsync
2025.11.04 00:07:45,00:07:45,56,nl.appyhapps.healthsync
2025.11.04 00:08:00,00:08:00,56,nl.appyhapps.healthsync
2025.11.04 00:08:15,00:08:15,55,nl.appyhapps.healthsync
2025.11.04 00:08:30,00:08:30,55,nl.appyhapps.healthsync
2025.11.04 00:08:45,00:08:45,55,nl.appyhapps.healthsync
2025.11.04 00:09:00,00:09:00,55,nl.appyhapps.healthsync
2025.11.04 00:09:15,00:09:15,59,nl.appyhapps.healthsync
2025.11.04 00:09:30,00:09:30,59,nl.appyhapps.healthsync
2025.11.04 00:09:45,00:09:45,59,nl.appyhapps.healthsync
2025.11.04 00:10:00,00:10:00,59,nl.appyhapps.healthsync
2025.11.04 00:10:15,00:10:15,57,nl.appyhapps.healthsync
2025.11.04 00:10:30,00:10:30,57,nl.appyhapps.healthsync
2025.11.04 00:10:45,00:10:45,57,nl.appyhapps.healthsync
2025.11.04 00:11:00,00:11:00,57,nl.appyhapps.healthsync
2025.11.04 00:11:15,00:11:15,54,nl.appyhapps.healthsync
2025.11.04 00:11:30,00:11:30,54,nl.appyhapps.healthsync
2025.11.04 00:11:45,00:11:45,54,nl.appyhapps.healthsync
2025.11.04 00:12:00,00:12:00,54,nl.appyhapps.healthsync
2025.11.04 00:12:15,00:12:15,53,nl.appyhapps.healthsync
2025.11.04 00:12:30,00:12:30,53,nl.appyhapps.healthsync
2025.11.04 00:12:45,00:12:45,53,nl.appyhapps.healthsync
2025.11.04 00:13:00,00:13:00,53,nl.appyhapps.healthsync
2025.11.04 00:13:15,00:13:15,54,nl.appyhapps.healthsync
2025.11.04 00:13:30,00:13:30,54,nl.appyhapps.healthsync
2025.11.04 00:13:45,00:13:45,54,nl.appyhapps.healthsync
2025.11.04 00:14:00,00:14:00,54,nl.appyhapps.healthsync
2025.11.04 00:14:15,00:14:15,52,nl.appyhapps.healthsync
2025.11.04 00:14:30,00:14:30,52,nl.appyhapps.healthsync
2025.11.04 00:14:45,00:14:45,52,nl.appyhapps.healthsync
2025.11.04 00:15:00,00:15:00,52,nl.appyhapps.healthsync
2025.11.04 00:15:15,00:15:15,55,nl.appyhapps.healthsync
2025.11.04 00:15:30,00:15:30,55,nl.appyhapps.healthsync
2025.11.04 00:15:45,00:15:45,55,nl.appyhapps.healthsync
2025.11.04 00:16:00,00:16:00,55,nl.appyhapps.healthsync
2025.11.04 00:16:15,00:16:15,54,nl.appyhapps.healthsync
2025.11.04 00:16:30,00:16:30,54,nl.appyhapps.healthsync
2025.11.04 00:16:45,00:16:45,54,nl.appyhapps.healthsync
2025.11.04 00:17:00,00:17:00,54,nl.appyhapps.healthsync
2025.11.04 00:17:15,00:17:15,53,nl.appyhapps.healthsync
2025.11.04 00:17:30,00:17:30,53,nl.appyhapps.healthsync
2025.11.04 00:17:45,00:17:45,53,nl.appyhapps.healthsync
2025.11.04 00:18:00,00:18:00,53,nl.appyhapps.healthsync
2025.11.04 00:18:15,00:18:15,57,nl.appyhapps.healthsync
2025.11.04 00:18:30,00:18:30,57,nl.appyhapps.healthsync
2025.11.04 00:18:45,00:18:45,57,nl.appyhapps.healthsync
2025.11.04 00:19:00,00:19:00,57,nl.appyhapps.healthsync
2025.11.04 00:19:15,00:19:15,61,nl.appyhapps.healthsync
2025.11.04 00:19:30,00:19:30,61,nl.appyhapps.healthsync
2025.11.04 00:19:45,00:19:45,61,nl.appyhapps.healthsync
2025.11.04 00:20:00,00:20:00,61,nl.appyhapps.healthsync
2025.11.04 00:20:15,00:20:15,56,nl.appyhapps.healthsync
2025.11.04 00:20:30,00:20:30,56,nl.appyhapps.healthsync
2025.11.04 00:20:45,00:20:45,56,nl.appyhapps.healthsync
2025.11.04 00:21:00,00:21:00,56,nl.appyhapps.healthsync
2025.11.04 00:21:15,00:21:15,52,nl.appyhapps.healthsync
2025.11.04 00:21:30,00:21:30,52,nl.appyhapps.healthsync
2025.11.04 00:21:45,00:21:45,52,nl.appyhapps.healthsync
2025.11.04 00:22:00,00:22:00,52,nl.appyhapps.healthsync
2025.11.04 00:22:15,00:22:15,53,nl.appyhapps.healthsync
2025.11.04 00:22:30,00:22:30,53,nl.appyhapps.healthsync
2025.11.04 00:22:45,00:22:45,53,nl.appyhapps.healthsync
2025.11.04 00:23:00,00:23:00,53,nl.appyhapps.healthsync
2025.11.04 00:23:15,00:23:15,53,nl.appyhapps.healthsync
2025.11.04 00:23:30,00:23:30,53,nl.appyhapps.healthsync
2025.11.04 00:23:45,00:23:45,53,nl.appyhapps.healthsync
2025.11.04 00:24:00,00:24:00,53,nl.appyhapps.healthsync
2025.11.04 00:24:15,00:24:15,52,nl.appyhapps.healthsync
2025.11.04 00:24:30,00:24:30,52,nl.appyhapps.healthsync
2025.11.04 00:24:45,00:24:45,52,nl.appyhapps.healthsync
2025.11.04 00:25:00,00:25:00,52,nl.appyhapps.healthsync
2025.11.04 00:25:15,00:25:15,52,nl.appyhapps.healthsync
2025.11.04 00:25:30,00:25:30,52,nl.appyhapps.healthsync
2025.11.04 00:25:45,00:25:45,52,nl.appyhapps.healthsync
2025.11.04 00:26:00,00:26:00,52,nl.appyhapps.healthsync
2025.11.04 00:26:15,00:26:15,53,nl.appyhapps.healthsync
2025.11.04 00:26:30,00:26:30,53,nl.appyhapps.healthsync
2025.11.04 00:26:45,00:26:45,53,nl.appyhapps.healthsync
2025.11.04 00:27:00,00:27:00,53,nl.appyhapps.healthsync
2025.11.04 00:27:15,00:27:15,52,nl.appyhapps.healthsync
2025.11.04 00:27:30,00:27:30,52,nl.appyhapps.healthsync
2025.11.04 00:27:45,00:27:45,52,nl.appyhapps.healthsync
2025.11.04 00:28:00,00:28:00,52,nl.appyhapps.healthsync
2025.11.04 00:28:15,00:28:15,53,nl.appyhapps.healthsync
2025.11.04 00:28:30,00:28:30,53,nl.appyhapps.healthsync
2025.11.04 00:28:45,00:28:45,53,nl.appyhapps.healthsync
2025.11.04 00:29:00,00:29:00,53,nl.appyhapps.healthsync
2025.11.04 00:29:15,00:29:15,51,nl.appyhapps.healthsync
2025.11.04 00:29:30,00:29:30,51,nl.appyhapps.healthsync
2025.11.04 00:29:45,00:29:45,51,nl.appyhapps.healthsync
2025.11.04 00:30:00,00:30:00,51,nl.appyhapps.healthsync
2025.11.04 00:30:15,00:30:15,52,nl.appyhapps.healthsync
2025.11.04 00:30:30,00:30:30,52,nl.appyhapps.healthsync
2025.11.04 00:30:45,00:30:45,52,nl.appyhapps.healthsync
2025.11.04 00:31:00,00:31:00,52,nl.appyhapps.healthsync
2025.11.04 00:31:15,00:31:15,51,nl.appyhapps.healthsync
2025.11.04 00:31:30,00:31:30,51,nl.appyhapps.healthsync
2025.11.04 00:31:45,00:31:45,51,nl.appyhapps.healthsync
2025.11.04 00:32:00,00:32:00,51,nl.appyhapps.healthsync
2025.11.04 00:32:15,00:32:15,52,nl.appyhapps.healthsync
2025.11.04 00:32:30,00:32:30,52,nl.appyhapps.healthsync
2025.11.04 00:32:45,00:32:45,52,nl.appyhapps.healthsync
2025.11.04 00:33:00,00:33:00,52,nl.appyhapps.healthsync
2025.11.04 00:33:15,00:33:15,52,nl.appyhapps.healthsync
2025.11.04 00:33:30,00:33:30,52,nl.appyhapps.healthsync
2025.11.04 00:33:45,00:33:45,52,nl.appyhapps.healthsync
2025.11.04 00:34:00,00:34:00,52,nl.appyhapps.healthsync
2025.11.04 00:34:15,00:34:15,53,nl.appyhapps.healthsync
2025.11.04 00:34:30,00:34:30,53,nl.appyhapps.healthsync
2025.11.04 00:34:45,00:34:45,53,nl.appyhapps.healthsync
2025.11.04 00:35:00,00:35:00,53,nl.appyhapps.healthsync
2025.11.04 00:35:15,00:35:15,53,nl.appyhapps.healthsync
2025.11.04 00:35:30,00:35:30,53,nl.appyhapps.healthsync
2025.11.04 00:35:45,00:35:45,53,nl.appyhapps.healthsync
2025.11.04 00:36:00,00:36:00,53,nl.appyhapps.healthsync
2025.11.04 00:36:15,00:36:15,49,nl.appyhapps.healthsync
2025.11.04 00:36:30,00:36:30,49,nl.appyhapps.healthsync
2025.11.04 00:36:45,00:36:45,49,nl.appyhapps.healthsync
2025.11.04 00:37:00,00:37:00,49,nl.appyhapps.healthsync
2025.11.04 00:37:15,00:37:15,50,nl.appyhapps.healthsync
2025.11.04 00:37:30,00:37:30,50,nl.appyhapps.healthsync
2025.11.04 00:37:45,00:37:45,50,nl.appyhapps.healthsync
2025.11.04 00:38:00,00:38:00,50,nl.appyhapps.healthsync
2025.11.04 00:38:15,00:38:15,51,nl.appyhapps.healthsync
2025.11.04 00:38:30,00:38:30,51,nl.appyhapps.healthsync
2025.11.04 00:38:45,00:38:45,51,nl.appyhapps.healthsync
2025.11.04 00:39:00,00:39:00,51,nl.appyhapps.healthsync
2025.11.04 00:39:15,00:39:15,50,nl.appyhapps.healthsync
2025.11.04 00:39:30,00:39:30,50,nl.appyhapps.healthsync
2025.11.04 00:39:45,00:39:45,50,nl.appyhapps.healthsync
2025.11.04 00:40:00,00:40:00,50,nl.appyhapps.healthsync
2025.11.04 00:40:15,00:40:15,50,nl.appyhapps.healthsync
2025.11.04 00:40:30,00:40:30,50,nl.appyhapps.healthsync
2025.11.04 00:40:45,00:40:45,50,nl.appyhapps.healthsync
2025.11.04 00:41:00,00:41:00,50,nl.appyhapps.healthsync
2025.11.04 00:41:15,00:41:15,50,nl.appyhapps.healthsync
2025.11.04 00:41:30,00:41:30,50,nl.appyhapps.healthsync
2025.11.04 00:41:45,00:41:45,50,nl.appyhapps.healthsync
2025.11.04 00:42:00,00:42:00,50,nl.appyhapps.healthsync
2025.11.04 00:42:15,00:42:15,51,nl.appyhapps.healthsync
2025.11.04 00:42:30,00:42:30,51,nl.appyhapps.healthsync
2025.11.04 00:42:45,00:42:45,51,nl.appyhapps.healthsync
2025.11.04 00:43:00,00:43:00,51,nl.appyhapps.healthsync
2025.11.04 00:43:15,00:43:15,50,nl.appyhapps.healthsync
2025.11.04 00:43:30,00:43:30,50,nl.appyhapps.healthsync
2025.11.04 00:43:45,00:43:45,50,nl.appyhapps.healthsync
2025.11.04 00:44:00,00:44:00,50,nl.appyhapps.healthsync
2025.11.04 00:44:15,00:44:15,51,nl.appyhapps.healthsync
2025.11.04 00:44:30,00:44:30,51,nl.appyhapps.healthsync
2025.11.04 00:44:45,00:44:45,51,nl.appyhapps.healthsync
2025.11.04 00:45:00,00:45:00,51,nl.appyhapps.healthsync
2025.11.04 00:45:15,00:45:15,48,nl.appyhapps.healthsync
2025.11.04 00:45:30,00:45:30,48,nl.appyhapps.healthsync
2025.11.04 00:45:45,00:45:45,48,nl.appyhapps.healthsync
2025.11.04 00:46:00,00:46:00,48,nl.appyhapps.healthsync
2025.11.04 00:46:15,00:46:15,49,nl.appyhapps.healthsync
2025.11.04 00:46:30,00:46:30,49,nl.appyhapps.healthsync
2025.11.04 00:46:45,00:46:45,49,nl.appyhapps.healthsync
2025.11.04 00:47:00,00:47:00,49,nl.appyhapps.healthsync
2025.11.04 00:47:15,00:47:15,55,nl.appyhapps.healthsync
2025.11.04 00:47:30,00:47:30,55,nl.appyhapps.healthsync
2025.11.04 00:47:45,00:47:45,55,nl.appyhapps.healthsync
2025.11.04 00:48:00,00:48:00,55,nl.appyhapps.healthsync
2025.11.04 00:48:15,00:48:15,52,nl.appyhapps.healthsync
2025.11.04 00:48:30,00:48:30,52,nl.appyhapps.healthsync
2025.11.04 00:48:45,00:48:45,52,nl.appyhapps.healthsync
2025.11.04 00:49:00,00:49:00,52,nl.appyhapps.healthsync
2025.11.04 00:49:15,00:49:15,60,nl.appyhapps.healthsync
2025.11.04 00:49:30,00:49:30,60,nl.appyhapps.healthsync
2025.11.04 00:49:45,00:49:45,60,nl.appyhapps.healthsync
2025.11.04 00:50:00,00:50:00,60,nl.appyhapps.healthsync
2025.11.04 00:50:15,00:50:15,50,nl.appyhapps.healthsync
2025.11.04 00:50:30,00:50:30,50,nl.appyhapps.healthsync
2025.11.04 00:50:45,00:50:45,50,nl.appyhapps.healthsync
2025.11.04 00:51:00,00:51:00,50,nl.appyhapps.healthsync
2025.11.04 00:51:15,00:51:15,50,nl.appyhapps.healthsync
2025.11.04 00:51:30,00:51:30,50,nl.appyhapps.healthsync
2025.11.04 00:51:45,00:51:45,50,nl.appyhapps.healthsync
2025.11.04 00:52:00,00:52:00,50,nl.appyhapps.healthsync
2025.11.04 00:52:15,00:52:15,50,nl.appyhapps.healthsync
2025.11.04 00:52:30,00:52:30,50,nl.appyhapps.healthsync
2025.11.04 00:52:45,00:52:45,50,nl.appyhapps.healthsync
2025.11.04 00:53:00,00:53:00,50,nl.appyhapps.healthsync
2025.11.04 00:53:15,00:53:15,50,nl.appyhapps.healthsync
2025.11.04 00:53:30,00:53:30,50,nl.appyhapps.healthsync
2025.11.04 00:53:45,00:53:45,50,nl.appyhapps.healthsync
2025.11.04 00:54:00,00:54:00,50,nl.appyhapps.healthsync
2025.11.04 00:54:15,00:54:15,50,nl.appyhapps.healthsync
2025.11.04 00:54:30,00:54:30,50,nl.appyhapps.healthsync
2025.11.04 00:54:45,00:54:45,50,nl.appyhapps.healthsync
2025.11.04 00:55:00,00:55:00,50,nl.appyhapps.healthsync
2025.11.04 00:55:15,00:55:15,49,nl.appyhapps.healthsync
2025.11.04 00:55:30,00:55:30,49,nl.appyhapps.healthsync
2025.11.04 00:55:45,00:55:45,49,nl.appyhapps.healthsync
2025.11.04 00:56:00,00:56:00,49,nl.appyhapps.healthsync
2025.11.04 00:56:15,00:56:15,49,nl.appyhapps.healthsync
2025.11.04 00:56:30,00:56:30,49,nl.appyhapps.healthsync
2025.11.04 00:56:45,00:56:45,49,nl.appyhapps.healthsync
2025.11.04 00:57:00,00:57:00,49,nl.appyhapps.healthsync
2025.11.04 00:57:15,00:57:15,50,nl.appyhapps.healthsync
2025.11.04 00:57:30,00:57:30,50,nl.appyhapps.healthsync
2025.11.04 00:57:45,00:57:45,50,nl.appyhapps.healthsync
2025.11.04 00:58:00,00:58:00,50,nl.appyhapps.healthsync
2025.11.04 00:58:15,00:58:15,49,nl.appyhapps.healthsync
2025.11.04 00:58:30,00:58:30,49,nl.appyhapps.healthsync
2025.11.04 00:58:45,00:58:45,49,nl.appyhapps.healthsync
2025.11.04 00:59:00,00:59:00,49,nl.appyhapps.healthsync
2025.11.04 00:59:15,00:59:15,51,nl.appyhapps.healthsync
2025.11.04 00:59:30,00:59:30,51,nl.appyhapps.healthsync
2025.11.04 00:59:45,00:59:45,51,nl.appyhapps.healthsync
