Date,Time,Heart rate
2024.12.22 00.00,00.00,45
2024.12.22 00.00,00.00,44
2024.12.22 00.00,00.00,44
2024.12.22 00.00,00.00,44
2024.12.22 00.01,00.01,44
2024.12.22 00.01,00.01,44
2024.12.22 00.01,00.01,44
2024.12.22 00.01,00.01,44
2024.12.22 00.02,00.02,44
2024.12.22 00.02,00.02,45
2024.12.22 00.02,00.02,45
2024.12.22 00.02,00.02,45
2024.12.22 00.03,00.03,45
2024.12.22 00.03,00.03,45
2024.12.22 00.03,00.03,45
2024.12.22 00.03,00.03,45
2024.12.22 00.04,00.04,45
2024.12.22 00.04,00.04,46
2024.12.22 00.04,00.04,46
2024.12.22 00.04,00.04,46
2024.12.22 00.05,00.05,46
2024.12.22 00.05,00.05,45
2024.12.22 00.05,00.05,45
2024.12.22 00.05,00.05,45
2024.12.22 00.06,00.06,45
2024.12.22 00.06,00.06,45
2024.12.22 00.06,00.06,45
2024.12.22 00.06,00.06,45
2024.12.22 00.07,00.07,45
2024.12.22 00.07,00.07,44
2024.12.22 00.07,00.07,44
2024.12.22 00.07,00.07,44
2024.12.22 00.08,00.08,44
2024.12.22 00.08,00.08,45
2024.12.22 00.08,00.08,45
2024.12.22 00.08,00.08,45
2024.12.22 00.09,00.09,45
2024.12.22 00.09,00.09,45
2024.12.22 00.09,00.09,45
2024.12.22 00.09,00.09,45
2024.12.22 00.10,00.10,45
2024.12.22 00.10,00.10,45
2024.12.22 00.10,00.10,45
2024.12.22 00.10,00.10,45
2024.12.22 00.11,00.11,45
2024.12.22 00.11,00.11,44
2024.12.22 00.11,00.11,44
2024.12.22 00.11,00.11,44
2024.12.22 00.12,00.12,44
2024.12.22 00.12,00.12,46
2024.12.22 00.12,00.12,46
2024.12.22 00.12,00.12,46
2024.12.22 00.13,00.13,46
2024.12.22 00.13,00.13,45
2024.12.22 00.13,00.13,45
2024.12.22 00.13,00.13,45
2024.12.22 00.14,00.14,45
2024.12.22 00.14,00.14,43
2024.12.22 00.14,00.14,43
2024.12.22 00.14,00.14,43
2024.12.22 00.15,00.15,43
2024.12.22 00.15,00.15,42
2024.12.22 00.15,00.15,42
2024.12.22 00.15,00.15,42
2024.12.22 00.16,00.16,42
2024.12.22 00.16,00.16,43
2024.12.22 00.16,00.16,43
2024.12.22 00.16,00.16,43
2024.12.22 00.17,00.17,43
2024.12.22 00.17,00.17,44
2024.12.22 00.17,00.17,44
2024.12.22 00.17,00.17,44
2024.12.22 00.18,00.18,44
2024.12.22 00.18,00.18,44
2024.12.22 00.18,00.18,44
2024.12.22 00.18,00.18,44
2024.12.22 00.19,00.19,44
2024.12.22 00.19,00.19,43
2024.12.22 00.19,00.19,43
2024.12.22 00.19,00.19,43
2024.12.22 00.20,00.20,43
2024.12.22 00.20,00.20,43
2024.12.22 00.20,00.20,43
2024.12.22 00.20,00.20,43
2024.12.22 00.21,00.21,43
2024.12.22 00.21,00.21,43
2024.12.22 00.21,00.21,43
2024.12.22 00.21,00.21,43
2024.12.22 00.22,00.22,43
2024.12.22 00.22,00.22,44
2024.12.22 00.22,00.22,44
2024.12.22 00.22,00.22,44
2024.12.22 00.23,00.23,44
2024.12.22 00.23,00.23,44
2024.12.22 00.23,00.23,44
2024.12.22 00.23,00.23,44
2024.12.22 00.24,00.24,44
2024.12.22 00.24,00.24,44
2024.12.22 00.24,00.24,44
2024.12.22 00.24,00.24,44
2024.12.22 00.25,00.25,44
2024.12.22 00.25,00.25,45
2024.12.22 00.25,00.25,45
2024.12.22 00.25,00.25,45
2024.12.22 00.26,00.26,45
2024.12.22 00.26,00.26,43
2024.12.22 00.26,00.26,43
2024.12.22 00.26,00.26,43
2024.12.22 00.27,00.27,43
2024.12.22 00.27,00.27,44
2024.12.22 00.27,00.27,44
2024.12.22 00.27,00.27,44
2024.12.22 00.28,00.28,44
2024.12.22 00.28,00.28,44
2024.12.22 00.28,00.28,44
2024.12.22 00.28,00.28,44
2024.12.22 00.29,00.29,44
2024.12.22 00.29,00.29,44
2024.12.22 00.29,00.29,44
2024.12.22 00.29,00.29,44
2024.12.22 00.30,00.30,44
2024.12.22 00.30,00.30,44
2024.12.22 00.30,00.30,44
2024.12.22 00.30,00.30,44
2024.12.22 00.31,00.31,44
2024.12.22 00.31,00.31,45
2024.12.22 00.31,00.31,45
2024.12.22 00.31,00.31,45
2024.12.22 00.32,00.32,45
2024.12.22 00.32,00.32,44
2024.12.22 00.32,00.32,44
2024.12.22 00.32,00.32,44
2024.12.22 00.33,00.33,44
2024.12.22 00.33,00.33,44
2024.12.22 00.33,00.33,44
2024.12.22 00.33,00.33,44
2024.12.22 00.34,00.34,44
2024.12.22 00.34,00.34,44
2024.12.22 00.34,00.34,44
2024.12.22 00.34,00.34,44
2024.12.22 00.35,00.35,44
2024.12.22 00.35,00.35,44
2024.12.22 00.35,00.35,44
2024.12.22 00.35,00.35,44
2024.12.22 00.36,00.36,44
2024.12.22 00.36,00.36,45
2024.12.22 00.36,00.36,45
2024.12.22 00.36,00.36,45
2024.12.22 00.37,00.37,45
2024.12.22 00.37,00.37,44
2024.12.22 00.37,00.37,44
2024.12.22 00.37,00.37,44
2024.12.22 00.38,00.38,44
2024.12.22 00.38,00.38,45
2024.12.22 00.38,00.38,45
2024.12.22 00.38,00.38,45
2024.12.22 00.39,00.39,45
2024.12.22 00.39,00.39,45
2024.12.22 00.39,00.39,45
2024.12.22 00.39,00.39,45
2024.12.22 00.40,00.40,45
2024.12.22 00.40,00.40,44
2024.12.22 00.40,00.40,44
2024.12.22 00.40,00.40,44
2024.12.22 00.41,00.41,44
2024.12.22 00.41,00.41,44
2024.12.22 00.41,00.41,44
2024.12.22 00.41,00.41,44
2024.12.22 00.42,00.42,44
2024.12.22 00.42,00.42,44
2024.12.22 00.42,00.42,44
2024.12.22 00.42,00.42,44
2024.12.22 00.43,00.43,44
2024.12.22 00.43,00.43,44
2024.12.22 00.43,00.43,44
2024.12.22 00.43,00.43,44
2024.12.22 00.44,00.44,44
2024.12.22 00.44,00.44,46
2024.12.22 00.44,00.44,46
2024.12.22 00.44,00.44,46
2024.12.22 00.45,00.45,46
2024.12.22 00.45,00.45,44
2024.12.22 00.45,00.45,44
2024.12.22 00.45,00.45,44
2024.12.22 00.46,00.46,44
2024.12.22 00.46,00.46,44
2024.12.22 00.46,00.46,44
2024.12.22 00.46,00.46,44
2024.12.22 00.47,00.47,44
2024.12.22 00.47,00.47,45
2024.12.22 00.47,00.47,45
2024.12.22 00.47,00.47,45
2024.12.22 00.48,00.48,45
2024.12.22 00.48,00.48,46
2024.12.22 00.48,00.48,46
2024.12.22 00.48,00.48,46
2024.12.22 00.49,00.49,46
2024.12.22 00.49,00.49,53
2024.12.22 00.49,00.49,53
2024.12.22 00.49,00.49,53
2024.12.22 00.50,00.50,53
2024.12.22 00.50,00.50,42
2024.12.22 00.50,00.50,42
2024.12.22 00.50,00.50,42
2024.12.22 00.51,00.51,42
2024.12.22 00.51,00.51,43
2024.12.22 00.51,00.51,43
2024.12.22 00.51,00.51,43
2024.12.22 00.52,00.52,43
2024.12.22 00.52,00.52,43
2024.12.22 00.52,00.52,43
2024.12.22 00.52,00.52,43
2024.12.22 00.53,00.53,43
2024.12.22 00.53,00.53,43
2024.12.22 00.53,00.53,43
2024.12.22 00.53,00.53,43
2024.12.22 00.54,00.54,43
2024.12.22 00.54,00.54,43
2024.12.22 00.54,00.54,43
2024.12.22 00.54,00.54,43
2024.12.22 00.55,00.55,43
2024.12.22 00.55,00.55,43
2024.12.22 00.55,00.55,43
2024.12.22 00.55,00.55,43
2024.12.22 00.56,00.56,43
2024.12.22 00.56,00.56,42
2024.12.22 00.56,00.56,42
2024.12.22 00.56,00.56,42
2024.12.22 00.57,00.57,42
2024.12.22 00.57,00.57,42
2024.12.22 00.57,00.57,42
2024.12.22 00.57,00.57,42
2024.12.22 00.58,00.58,42
2024.12.22 00.58,00.58,43
2024.12.22 00.58,00.58,43
2024.12.22 00.58,00.58,43
2024.12.22 00.59,00.59,43
2024.12.22 00.59,00.59,45
2024.12.22 00.59,00.59,45
