Date,Time,heart rate variability
2025.11.08 00:00:39,00:00:39,59.0
2025.11.08 00:05:39,00:05:39,66.0
2025.11.08 00:10:39,00:10:39,69.0
2025.11.08 00:15:39,00:15:39,68.0
2025.11.08 00:20:39,00:20:39,70.0
2025.11.08 00:25:39,00:25:39,65.0
2025.11.08 00:30:39,00:30:39,61.0
2025.11.08 00:35:39,00:35:39,30.0
2025.11.08 00:40:39,00:40:39,24.0
2025.11.08 00:45:39,00:45:39,37.0
2025.11.08 00:50:39,00:50:39,39.0
2025.11.08 00:55:39,00:55:39,51.0
2025.11.08 01:00:39,01:00:39,67.0
2025.11.08 01:05:39,01:05:39,55.0
2025.11.08 01:10:39,01:10:39,42.0
2025.11.08 01:15:39,01:15:39,44.0
2025.11.08 01:20:39,01:20:39,62.0
2025.11.08 01:25:39,01:25:39,55.0
2025.11.08 01:30:39,01:30:39,59.0
2025.11.08 01:35:39,01:35:39,53.0
2025.11.08 01:40:39,01:40:39,52.0
2025.11.08 01:45:39,01:45:39,38.0
2025.11.08 01:50:39,01:50:39,53.0
2025.11.08 01:55:39,01:55:39,58.0
2025.11.08 02:00:39,02:00:39,47.0
2025.11.08 02:05:39,02:05:39,51.0
2025.11.08 02:10:39,02:10:39,59.0
2025.11.08 02:15:39,02:15:39,54.0
2025.11.08 02:20:39,02:20:39,53.0
2025.11.08 02:25:39,02:25:39,60.0
2025.11.08 02:30:39,02:30:39,63.0
2025.11.08 02:35:39,02:35:39,69.0
2025.11.08 02:40:39,02:40:39,63.0
2025.11.08 02:45:39,02:45:39,63.0
2025.11.08 02:50:39,02:50:39,61.0
2025.11.08 02:55:39,02:55:39,58.0
2025.11.08 03:00:39,03:00:39,65.0
2025.11.08 03:05:39,03:05:39,64.0
2025.11.08 03:10:39,03:10:39,60.0
2025.11.08 03:15:39,03:15:39,43.0
2025.11.08 03:20:39,03:20:39,51.0
2025.11.08 03:25:39,03:25:39,55.0
2025.11.08 03:30:39,03:30:39,54.0
2025.11.08 03:35:39,03:35:39,53.0
2025.11.08 03:40:39,03:40:39,48.0
2025.11.08 03:45:39,03:45:39,45.0
2025.11.08 03:50:39,03:50:39,43.0
2025.11.08 03:55:39,03:55:39,43.0
2025.11.08 04:00:39,04:00:39,38.0
2025.11.08 04:05:39,04:05:39,39.0
2025.11.08 04:10:39,04:10:39,39.0
2025.11.08 04:15:39,04:15:39,41.0
2025.11.08 04:20:39,04:20:39,44.0
2025.11.08 04:25:39,04:25:39,64.0
2025.11.08 04:30:39,04:30:39,60.0
2025.11.08 04:35:39,04:35:39,33.0
2025.11.08 04:40:39,04:40:39,62.0
2025.11.08 04:45:39,04:45:39,46.0
2025.11.08 04:50:39,04:50:39,46.0
2025.11.08 04:55:39,04:55:39,43.0
2025.11.08 05:00:39,05:00:39,50.0
2025.11.08 05:05:39,05:05:39,57.0
2025.11.08 05:10:39,05:10:39,54.0
2025.11.08 05:15:39,05:15:39,71.0
2025.11.08 05:20:39,05:20:39,58.0
2025.11.08 05:25:39,05:25:39,64.0
2025.11.08 05:30:39,05:30:39,61.0
2025.11.08 05:35:39,05:35:39,39.0
2025.11.08 05:40:39,05:40:39,53.0
2025.11.08 05:45:39,05:45:39,69.0
2025.11.08 05:50:39,05:50:39,64.0
2025.11.08 05:55:39,05:55:39,61.0
2025.11.08 06:00:39,06:00:39,62.0
2025.11.08 06:05:39,06:05:39,61.0
2025.11.08 06:10:39,06:10:39,58.0
2025.11.08 06:15:39,06:15:39,54.0
2025.11.08 06:20:39,06:20:39,51.0
2025.11.08 06:25:39,06:25:39,60.0
2025.11.08 06:30:39,06:30:39,67.0
2025.11.08 06:35:39,06:35:39,36.0
2025.11.08 06:40:39,06:40:39,56.0
2025.11.08 06:45:39,06:45:39,68.0
2025.11.08 06:50:39,06:50:39,53.0
2025.11.08 06:55:39,06:55:39,52.0
2025.11.08 07:00:39,07:00:39,54.0
2025.11.08 07:05:39,07:05:39,73.0
2025.11.08 07:10:39,07:10:39,54.0
2025.11.08 07:15:39,07:15:39,63.0
2025.11.08 07:20:39,07:20:39,67.0
2025.11.08 07:25:39,07:25:39,63.0
2025.11.08 07:30:39,07:30:39,55.0
2025.11.08 07:35:39,07:35:39,57.0
