Date,Time,Steps
2025.01.01 00.00,00.00,525
2025.01.01 00.15,00.15,67
2025.01.01 00.30,00.30,210
2025.01.01 00.45,00.45,277
2025.01.01 01.00,01.00,50
2025.01.01 01.15,01.15,52
2025.01.01 03.15,03.15,6
2025.01.01 04.00,04.00,11
2025.01.01 06.45,06.45,9
2025.01.01 09.00,09.00,80
2025.01.01 09.15,09.15,70
2025.01.01 09.30,09.30,217
2025.01.01 09.45,09.45,52
2025.01.01 10.00,10.00,88
2025.01.01 10.15,10.15,27
2025.01.01 10.30,10.30,46
2025.01.01 10.45,10.45,188
2025.01.01 11.00,11.00,615
2025.01.01 11.15,11.15,133
2025.01.01 11.30,11.30,217
2025.01.01 11.45,11.45,421
2025.01.01 12.00,12.00,348
2025.01.01 12.15,12.15,145
2025.01.01 12.30,12.30,370
2025.01.01 13.00,13.00,20
2025.01.01 13.15,13.15,12
2025.01.01 13.45,13.45,30
2025.01.01 14.00,14.00,83
2025.01.01 14.15,14.15,251
2025.01.01 14.30,14.30,34
2025.01.01 15.00,15.00,254
2025.01.01 15.15,15.15,190
2025.01.01 15.30,15.30,9
2025.01.01 15.45,15.45,17
2025.01.01 16.00,16.00,6
2025.01.01 16.15,16.15,14
2025.01.01 16.30,16.30,252
2025.01.01 17.00,17.00,8
2025.01.01 17.15,17.15,9
2025.01.01 17.30,17.30,18
2025.01.01 17.45,17.45,7
2025.01.01 18.00,18.00,14
2025.01.01 18.15,18.15,74
2025.01.01 18.30,18.30,75
2025.01.01 18.45,18.45,248
2025.01.01 19.00,19.00,395
2025.01.01 19.15,19.15,70
2025.01.01 19.30,19.30,47
2025.01.01 20.00,20.00,74
2025.01.01 20.45,20.45,128
2025.01.01 23.15,23.15,13
