Date,Time,Steps
2025.01.03 00:45:00,00:45:00,11
2025.01.03 01:15:00,01:15:00,33
2025.01.03 05:15:00,05:15:00,125
2025.01.03 05:30:00,05:30:00,85
2025.01.03 05:45:00,05:45:00,40
2025.01.03 06:00:00,06:00:00,260
2025.01.03 06:15:00,06:15:00,21
2025.01.03 06:45:00,06:45:00,1181
2025.01.03 07:00:00,07:00:00,2239
2025.01.03 07:15:00,07:15:00,2012
2025.01.03 07:30:00,07:30:00,2275
2025.01.03 07:45:00,07:45:00,2016
2025.01.03 08:00:00,08:00:00,1913
2025.01.03 08:15:00,08:15:00,1830
2025.01.03 08:45:00,08:45:00,97
2025.01.03 09:00:00,09:00:00,29
2025.01.03 09:15:00,09:15:00,71
2025.01.03 10:30:00,10:30:00,33
2025.01.03 10:45:00,10:45:00,25
2025.01.03 12:15:00,12:15:00,184
2025.01.03 14:15:00,14:15:00,46
2025.01.03 14:30:00,14:30:00,77
2025.01.03 14:45:00,14:45:00,71
2025.01.03 15:00:00,15:00:00,115
2025.01.03 15:15:00,15:15:00,11
2025.01.03 15:30:00,15:30:00,168
2025.01.03 16:00:00,16:00:00,96
2025.01.03 16:15:00,16:15:00,20
2025.01.03 16:30:00,16:30:00,10
2025.01.03 17:30:00,17:30:00,255
2025.01.03 17:45:00,17:45:00,243
2025.01.03 18:15:00,18:15:00,264
2025.01.03 18:30:00,18:30:00,54
2025.01.03 18:45:00,18:45:00,128
2025.01.03 19:00:00,19:00:00,270
2025.01.03 19:15:00,19:15:00,79
2025.01.03 19:30:00,19:30:00,52
2025.01.03 20:00:00,20:00:00,17
2025.01.03 20:15:00,20:15:00,46
2025.01.03 20:30:00,20:30:00,174
2025.01.03 20:45:00,20:45:00,86
