Date,Time,Steps,Source
2024.11.26 02.45,02.45,33,nl.appyhapps.healthsync
2024.11.26 05.15,05.15,190,nl.appyhapps.healthsync
2024.11.26 05.30,05.30,66,nl.appyhapps.healthsync
2024.11.26 05.45,05.45,28,nl.appyhapps.healthsync
2024.11.26 06.00,06.00,96,nl.appyhapps.healthsync
2024.11.26 06.15,06.15,36,nl.appyhapps.healthsync
2024.11.26 07.00,07.00,24,nl.appyhapps.healthsync
2024.11.26 07.15,07.15,79,nl.appyhapps.healthsync
2024.11.26 07.30,07.30,153,nl.appyhapps.healthsync
2024.11.26 07.45,07.45,42,nl.appyhapps.healthsync
2024.11.26 08.15,08.15,166,nl.appyhapps.healthsync
2024.11.26 08.30,08.30,23,nl.appyhapps.healthsync
2024.11.26 09.15,09.15,13,nl.appyhapps.healthsync
2024.11.26 10.00,10.00,55,nl.appyhapps.healthsync
2024.11.26 10.15,10.15,17,nl.appyhapps.healthsync
2024.11.26 10.45,10.45,49,nl.appyhapps.healthsync
2024.11.26 11.15,11.15,62,nl.appyhapps.healthsync
2024.11.26 11.45,11.45,11,nl.appyhapps.healthsync
2024.11.26 12.00,12.00,9,nl.appyhapps.healthsync
2024.11.26 12.15,12.15,24,nl.appyhapps.healthsync
2024.11.26 13.15,13.15,13,nl.appyhapps.healthsync
2024.11.26 13.45,13.45,106,nl.appyhapps.healthsync
2024.11.26 14.00,14.00,20,nl.appyhapps.healthsync
2024.11.26 14.15,14.15,472,nl.appyhapps.healthsync
2024.11.26 14.30,14.30,371,nl.appyhapps.healthsync
2024.11.26 15.00,15.00,17,nl.appyhapps.healthsync
2024.11.26 15.15,15.15,219,nl.appyhapps.healthsync
2024.11.26 16.00,16.00,68,nl.appyhapps.healthsync
2024.11.26 16.15,16.15,23,nl.appyhapps.healthsync
2024.11.26 16.30,16.30,292,nl.appyhapps.healthsync
2024.11.26 16.45,16.45,295,nl.appyhapps.healthsync
2024.11.26 17.00,17.00,263,nl.appyhapps.healthsync
2024.11.26 17.15,17.15,219,nl.appyhapps.healthsync
2024.11.26 17.30,17.30,488,nl.appyhapps.healthsync
2024.11.26 17.45,17.45,155,nl.appyhapps.healthsync
2024.11.26 18.00,18.00,52,nl.appyhapps.healthsync
2024.11.26 18.30,18.30,105,nl.appyhapps.healthsync
2024.11.26 18.45,18.45,146,nl.appyhapps.healthsync
2024.11.26 19.00,19.00,126,nl.appyhapps.healthsync
2024.11.26 19.15,19.15,173,nl.appyhapps.healthsync
2024.11.26 19.30,19.30,137,nl.appyhapps.healthsync
2024.11.26 20.00,20.00,46,nl.appyhapps.healthsync
2024.11.26 20.15,20.15,17,nl.appyhapps.healthsync
2024.11.26 20.30,20.30,11,nl.appyhapps.healthsync
2024.11.26 20.45,20.45,150,nl.appyhapps.healthsync
2024.11.26 21.00,21.00,13,nl.appyhapps.healthsync
2024.11.27 01.45,01.45,11,nl.appyhapps.healthsync
2024.11.27 02.00,02.00,7,nl.appyhapps.healthsync
2024.11.27 06.45,06.45,28,nl.appyhapps.healthsync
2024.11.27 07.30,07.30,95,nl.appyhapps.healthsync
2024.11.27 07.45,07.45,115,nl.appyhapps.healthsync
2024.11.27 08.00,08.00,56,nl.appyhapps.healthsync
2024.11.27 08.15,08.15,65,nl.appyhapps.healthsync
2024.11.27 08.30,08.30,137,nl.appyhapps.healthsync
2024.11.27 08.45,08.45,46,nl.appyhapps.healthsync
2024.11.27 09.00,09.00,92,nl.appyhapps.healthsync
2024.11.27 09.15,09.15,88,nl.appyhapps.healthsync
2024.11.27 09.30,09.30,167,nl.appyhapps.healthsync
2024.11.27 09.45,09.45,1391,nl.appyhapps.healthsync
2024.11.27 10.00,10.00,1655,nl.appyhapps.healthsync
2024.11.27 10.15,10.15,1599,nl.appyhapps.healthsync
2024.11.27 10.30,10.30,1569,nl.appyhapps.healthsync
2024.11.27 10.45,10.45,1629,nl.appyhapps.healthsync
2024.11.27 11.00,11.00,474,nl.appyhapps.healthsync
2024.11.27 11.45,11.45,190,nl.appyhapps.healthsync
2024.11.27 12.00,12.00,224,nl.appyhapps.healthsync
2024.11.27 12.15,12.15,15,nl.appyhapps.healthsync
2024.11.27 12.30,12.30,43,nl.appyhapps.healthsync
2024.11.27 12.45,12.45,108,nl.appyhapps.healthsync
2024.11.27 13.00,13.00,27,nl.appyhapps.healthsync
2024.11.27 13.15,13.15,46,nl.appyhapps.healthsync
2024.11.27 13.30,13.30,91,nl.appyhapps.healthsync
2024.11.27 13.45,13.45,17,nl.appyhapps.healthsync
2024.11.27 14.00,14.00,21,nl.appyhapps.healthsync
2024.11.27 14.15,14.15,17,nl.appyhapps.healthsync
2024.11.27 15.00,15.00,26,nl.appyhapps.healthsync
2024.11.27 15.15,15.15,9,nl.appyhapps.healthsync
2024.11.27 15.45,15.45,46,nl.appyhapps.healthsync
2024.11.27 16.00,16.00,23,nl.appyhapps.healthsync
2024.11.27 16.15,16.15,155,nl.appyhapps.healthsync
2024.11.27 16.30,16.30,77,nl.appyhapps.healthsync
2024.11.27 16.45,16.45,34,nl.appyhapps.healthsync
2024.11.27 17.15,17.15,106,nl.appyhapps.healthsync
2024.11.27 17.30,17.30,34,nl.appyhapps.healthsync
2024.11.27 17.45,17.45,15,nl.appyhapps.healthsync
2024.11.27 18.00,18.00,88,nl.appyhapps.healthsync
2024.11.27 18.15,18.15,171,nl.appyhapps.healthsync
2024.11.27 18.30,18.30,96,nl.appyhapps.healthsync
2024.11.27 18.45,18.45,139,nl.appyhapps.healthsync
2024.11.27 19.15,19.15,46,nl.appyhapps.healthsync
2024.11.27 19.30,19.30,122,nl.appyhapps.healthsync
2024.11.27 19.45,19.45,59,nl.appyhapps.healthsync
2024.11.27 20.00,20.00,26,nl.appyhapps.healthsync
2024.11.27 20.15,20.15,137,nl.appyhapps.healthsync
2024.11.27 20.30,20.30,15,nl.appyhapps.healthsync
2024.11.27 20.45,20.45,74,nl.appyhapps.healthsync
2024.11.27 21.15,21.15,282,nl.appyhapps.healthsync
2024.11.27 21.45,21.45,87,nl.appyhapps.healthsync
