Date,Time,Steps
2024.12.23 01.30,01.30,15
2024.12.23 04.15,04.15,7
2024.12.23 05.00,05.00,9
2024.12.23 05.15,05.15,22
2024.12.23 05.30,05.30,92
2024.12.23 05.45,05.45,30
2024.12.23 06.00,06.00,172
2024.12.23 06.15,06.15,13
2024.12.23 06.30,06.30,38
2024.12.23 06.45,06.45,9
2024.12.23 07.00,07.00,21
2024.12.23 07.15,07.15,15
2024.12.23 09.15,09.15,48
2024.12.23 09.30,09.30,9
2024.12.23 10.00,10.00,42
2024.12.23 10.45,10.45,13
2024.12.23 12.00,12.00,48
2024.12.23 12.15,12.15,9
2024.12.23 12.45,12.45,30
2024.12.23 13.15,13.15,38
2024.12.23 13.45,13.45,125
2024.12.23 14.30,14.30,16
2024.12.23 14.45,14.45,43
2024.12.23 15.15,15.15,38
2024.12.23 15.30,15.30,529
2024.12.23 15.45,15.45,2251
2024.12.23 16.00,16.00,2260
2024.12.23 16.15,16.15,1528
2024.12.23 17.15,17.15,19
2024.12.23 17.30,17.30,114
2024.12.23 17.45,17.45,13
2024.12.23 18.00,18.00,17
2024.12.23 18.15,18.15,290
2024.12.23 18.30,18.30,77
2024.12.23 19.00,19.00,25
2024.12.23 19.15,19.15,40
2024.12.23 19.30,19.30,165
2024.12.23 19.45,19.45,11
2024.12.23 20.15,20.15,79
2024.12.23 20.30,20.30,267
2024.12.23 20.45,20.45,13
2024.12.23 21.00,21.00,9
2024.12.24 05.15,05.15,112
2024.12.24 05.30,05.30,64
2024.12.24 05.45,05.45,84
2024.12.24 06.00,06.00,137
2024.12.24 06.15,06.15,218
2024.12.24 06.30,06.30,8
2024.12.24 06.45,06.45,30
2024.12.24 07.00,07.00,28
2024.12.24 07.30,07.30,50
2024.12.24 08.00,08.00,12
2024.12.24 09.00,09.00,159
2024.12.24 10.15,10.15,165
2024.12.24 10.30,10.30,68
2024.12.24 11.00,11.00,24
2024.12.24 11.30,11.30,37
2024.12.24 11.45,11.45,23
2024.12.24 12.30,12.30,56
2024.12.24 13.15,13.15,9
2024.12.24 13.30,13.30,70
2024.12.24 13.45,13.45,12
2024.12.24 14.30,14.30,150
