Date,Time,Steps
2025.11.05 01:15:00,01:15:00,24
2025.11.05 01:17:00,01:17:00,12
2025.11.05 01:18:00,01:18:00,12
2025.11.05 01:30:00,01:30:00,106
2025.11.05 01:42:00,01:42:00,35
2025.11.05 01:43:00,01:43:00,36
2025.11.05 01:44:00,01:44:00,35
2025.11.05 01:45:00,01:45:00,112
2025.11.05 01:46:00,01:46:00,39
2025.11.05 01:47:00,01:47:00,38
2025.11.05 01:56:00,01:56:00,18
2025.11.05 01:57:00,01:57:00,17
2025.11.05 02:00:00,02:00:00,23
2025.11.05 02:00:00,02:00:00,69
2025.11.05 02:01:00,02:01:00,23
2025.11.05 02:02:00,02:02:00,23
2025.11.05 04:30:00,04:30:00,12
2025.11.05 04:32:00,04:32:00,12
2025.11.05 06:45:00,06:45:00,82
2025.11.05 06:49:00,06:49:00,17
2025.11.05 06:51:00,06:51:00,11
2025.11.05 06:53:00,06:53:00,18
2025.11.05 06:54:00,06:54:00,18
2025.11.05 06:55:00,06:55:00,18
2025.11.05 07:00:00,07:00:00,65
2025.11.05 07:02:00,07:02:00,13
2025.11.05 07:05:00,07:05:00,11
2025.11.05 07:06:00,07:06:00,12
2025.11.05 07:07:00,07:07:00,11
2025.11.05 07:08:00,07:08:00,9
2025.11.05 07:09:00,07:09:00,9
2025.11.05 09:00:00,09:00:00,101
2025.11.05 09:07:00,09:07:00,11
2025.11.05 09:08:00,09:08:00,10
2025.11.05 09:11:00,09:11:00,32
2025.11.05 09:13:00,09:13:00,48
2025.11.05 09:15:00,09:15:00,16
2025.11.05 09:15:00,09:15:00,64
2025.11.05 09:17:00,09:17:00,24
2025.11.05 09:18:00,09:18:00,24
2025.11.05 09:45:00,09:45:00,112
2025.11.05 09:52:00,09:52:00,14
2025.11.05 09:53:00,09:53:00,14
2025.11.05 09:56:00,09:56:00,42
2025.11.05 09:57:00,09:57:00,42
2025.11.05 10:00:00,10:00:00,133
2025.11.05 10:07:00,10:07:00,16
2025.11.05 10:09:00,10:09:00,59
2025.11.05 10:10:00,10:10:00,58
2025.11.05 10:15:00,10:15:00,65
2025.11.05 10:18:00,10:18:00,24
2025.11.05 10:19:00,10:19:00,23
2025.11.05 10:28:00,10:28:00,18
2025.11.05 10:30:00,10:30:00,51
2025.11.05 10:32:00,10:32:00,26
2025.11.05 10:33:00,10:33:00,25
2025.11.05 11:00:00,11:00:00,8
2025.11.05 11:00:00,11:00:00,194
2025.11.05 11:05:00,11:05:00,26
2025.11.05 11:06:00,11:06:00,26
2025.11.05 11:07:00,11:07:00,25
2025.11.05 11:08:00,11:08:00,26
2025.11.05 11:10:00,11:10:00,29
2025.11.05 11:12:00,11:12:00,18
2025.11.05 11:13:00,11:13:00,18
2025.11.05 11:14:00,11:14:00,18
2025.11.05 11:15:00,11:15:00,145
2025.11.05 11:15:00,11:15:00,2191
2025.11.05 11:16:00,11:16:00,146
2025.11.05 11:17:00,11:17:00,145
2025.11.05 11:18:00,11:18:00,145
2025.11.05 11:19:00,11:19:00,145
2025.11.05 11:20:00,11:20:00,146
2025.11.05 11:21:00,11:21:00,145
2025.11.05 11:22:00,11:22:00,145
2025.11.05 11:23:00,11:23:00,145
2025.11.05 11:24:00,11:24:00,146
2025.11.05 11:25:00,11:25:00,145
2025.11.05 11:26:00,11:26:00,145
2025.11.05 11:27:00,11:27:00,149
2025.11.05 11:28:00,11:28:00,150
2025.11.05 11:29:00,11:29:00,149
2025.11.05 11:30:00,11:30:00,128
2025.11.05 11:30:00,11:30:00,2206
2025.11.05 11:31:00,11:31:00,147
2025.11.05 11:32:00,11:32:00,148
2025.11.05 11:33:00,11:33:00,147
2025.11.05 11:34:00,11:34:00,148
2025.11.05 11:35:00,11:35:00,147
2025.11.05 11:36:00,11:36:00,147
2025.11.05 11:37:00,11:37:00,148
2025.11.05 11:38:00,11:38:00,147
2025.11.05 11:39:00,11:39:00,148
2025.11.05 11:40:00,11:40:00,147
2025.11.05 11:41:00,11:41:00,151
2025.11.05 11:42:00,11:42:00,151
2025.11.05 11:43:00,11:43:00,151
2025.11.05 11:44:00,11:44:00,151
2025.11.05 11:45:00,11:45:00,118
2025.11.05 11:45:00,11:45:00,1822
