Date,Time,Steps
2024.12.30 04.45,04.45,9
2024.12.30 08.30,08.30,99
2024.12.30 08.45,08.45,144
2024.12.30 09.00,09.00,27
2024.12.30 09.15,09.15,26
2024.12.30 09.30,09.30,97
2024.12.30 09.45,09.45,126
2024.12.30 10.00,10.00,845
2024.12.30 10.15,10.15,2309
2024.12.30 10.30,10.30,2145
2024.12.30 10.45,10.45,1379
2024.12.30 11.00,11.00,108
2024.12.30 11.15,11.15,21
2024.12.30 11.30,11.30,316
2024.12.30 11.45,11.45,111
2024.12.30 12.00,12.00,7
2024.12.30 12.15,12.15,49
2024.12.30 12.30,12.30,46
2024.12.30 12.45,12.45,65
2024.12.30 13.30,13.30,116
2024.12.30 13.45,13.45,77
2024.12.30 14.00,14.00,17
2024.12.30 14.15,14.15,18
2024.12.30 14.30,14.30,80
2024.12.30 14.45,14.45,35
2024.12.30 15.00,15.00,71
2024.12.30 15.15,15.15,42
2024.12.30 15.30,15.30,81
2024.12.30 15.45,15.45,83
2024.12.30 16.00,16.00,154
2024.12.30 16.15,16.15,264
2024.12.30 16.30,16.30,62
2024.12.30 16.45,16.45,471
2024.12.30 17.00,17.00,65
2024.12.30 17.15,17.15,169
2024.12.30 17.30,17.30,11
2024.12.30 17.45,17.45,17
2024.12.30 18.00,18.00,73
2024.12.30 18.15,18.15,178
2024.12.30 18.30,18.30,44
2024.12.30 18.45,18.45,9
2024.12.30 19.00,19.00,190
2024.12.30 19.15,19.15,29
2024.12.30 20.00,20.00,87
2024.12.30 20.30,20.30,43
2024.12.30 21.00,21.00,21
2024.12.30 21.15,21.15,97
2024.12.30 21.30,21.30,11
2024.12.30 21.45,21.45,15
2024.12.30 22.00,22.00,246
2024.12.30 22.15,22.15,74
2024.12.30 22.30,22.30,34
