Date,Time,Steps
2024.12.15 02.45,02.45,18
2024.12.15 09.00,09.00,17
2024.12.15 09.15,09.15,146
2024.12.15 09.30,09.30,11
2024.12.15 10.00,10.00,66
2024.12.15 10.30,10.30,174
2024.12.15 10.45,10.45,147
2024.12.15 11.00,11.00,94
2024.12.15 11.15,11.15,266
2024.12.15 11.30,11.30,136
2024.12.15 11.45,11.45,1686
2024.12.15 12.00,12.00,2228
2024.12.15 12.15,12.15,1866
2024.12.15 12.30,12.30,2226
2024.12.15 12.45,12.45,432
2024.12.15 13.00,13.00,13
2024.12.15 13.45,13.45,55
2024.12.15 14.15,14.15,17
2024.12.15 14.45,14.45,95
2024.12.15 15.00,15.00,248
2024.12.15 15.15,15.15,1045
2024.12.15 15.30,15.30,1644
2024.12.15 15.45,15.45,1634
2024.12.15 16.00,16.00,1600
2024.12.15 16.15,16.15,1589
2024.12.15 16.30,16.30,1609
2024.12.15 16.45,16.45,128
2024.12.15 17.00,17.00,46
2024.12.15 17.30,17.30,165
2024.12.15 17.45,17.45,141
2024.12.15 20.30,20.30,64
2024.12.15 20.45,20.45,84
2024.12.15 21.00,21.00,20
