Date,Time,Steps
2024.12.21 08.30,08.30,137
2024.12.21 08.45,08.45,66
2024.12.21 09.00,09.00,11
2024.12.21 09.30,09.30,22
2024.12.21 09.45,09.45,289
2024.12.21 10.00,10.00,63
2024.12.21 10.15,10.15,115
2024.12.21 10.30,10.30,120
2024.12.21 10.45,10.45,10
2024.12.21 11.00,11.00,28
2024.12.21 11.15,11.15,265
2024.12.21 11.30,11.30,110
2024.12.21 11.45,11.45,71
2024.12.21 12.30,12.30,120
2024.12.21 12.45,12.45,51
2024.12.21 14.15,14.15,11
2024.12.21 14.30,14.30,23
2024.12.21 14.45,14.45,16
2024.12.21 15.00,15.00,13
2024.12.21 15.15,15.15,7
2024.12.21 15.30,15.30,116
2024.12.21 16.00,16.00,21
2024.12.21 16.15,16.15,13
2024.12.21 16.45,16.45,40
2024.12.21 17.15,17.15,103
2024.12.21 17.30,17.30,241
2024.12.21 17.45,17.45,83
2024.12.21 18.00,18.00,504
2024.12.21 18.15,18.15,836
2024.12.21 18.30,18.30,348
2024.12.21 18.45,18.45,575
2024.12.21 19.00,19.00,255
2024.12.21 19.15,19.15,446
2024.12.21 19.30,19.30,100
2024.12.21 19.45,19.45,59
2024.12.21 20.00,20.00,71
2024.12.21 20.15,20.15,86
2024.12.21 20.30,20.30,93
2024.12.21 20.45,20.45,340
2024.12.21 21.00,21.00,84
2024.12.21 21.45,21.45,80
2024.12.21 22.00,22.00,14
2024.12.21 22.30,22.30,38
2024.12.21 22.45,22.45,151
2024.12.22 03.00,03.00,21
2024.12.22 08.00,08.00,9
2024.12.22 08.15,08.15,62
2024.12.22 08.45,08.45,101
2024.12.22 09.00,09.00,129
2024.12.22 09.15,09.15,25
2024.12.22 09.30,09.30,15
2024.12.22 09.45,09.45,158
2024.12.22 10.00,10.00,1539
2024.12.22 10.15,10.15,2286
2024.12.22 10.30,10.30,2071
2024.12.22 10.45,10.45,1697
2024.12.22 11.00,11.00,1678
2024.12.22 11.15,11.15,1673
2024.12.22 11.30,11.30,956
2024.12.22 11.45,11.45,46
2024.12.22 12.00,12.00,65
2024.12.22 12.15,12.15,4
