Date,Time,Steps
2024.12.18 00.45,00.45,14
2024.12.18 05.15,05.15,7
2024.12.18 05.30,05.30,44
2024.12.18 05.45,05.45,33
2024.12.18 06.00,06.00,74
2024.12.18 06.15,06.15,17
2024.12.18 06.30,06.30,40
2024.12.18 06.45,06.45,252
2024.12.18 07.00,07.00,2309
2024.12.18 07.15,07.15,2266
2024.12.18 07.30,07.30,1850
2024.12.18 07.45,07.45,10
2024.12.18 08.00,08.00,30
2024.12.18 08.15,08.15,132
2024.12.18 08.30,08.30,48
2024.12.18 08.45,08.45,92
2024.12.18 09.00,09.00,12
2024.12.18 10.15,10.15,19
2024.12.18 10.30,10.30,107
2024.12.18 10.45,10.45,8
2024.12.18 11.30,11.30,28
