Date,Time,Steps,Source
2024.12.05 06:30:00,06:30:00,8,nl.appyhapps.healthsync
2024.12.05 07:15:00,07:15:00,24,nl.appyhapps.healthsync
2024.12.05 07:30:00,07:30:00,84,nl.appyhapps.healthsync
2024.12.05 07:45:00,07:45:00,50,nl.appyhapps.healthsync
2024.12.05 08:00:00,08:00:00,263,nl.appyhapps.healthsync
2024.12.05 08:15:00,08:15:00,363,nl.appyhapps.healthsync
2024.12.05 08:30:00,08:30:00,106,nl.appyhapps.healthsync
2024.12.05 08:45:00,08:45:00,139,nl.appyhapps.healthsync
2024.12.05 09:00:00,09:00:00,100,nl.appyhapps.healthsync
2024.12.05 09:15:00,09:15:00,70,nl.appyhapps.healthsync
2024.12.05 09:45:00,09:45:00,31,nl.appyhapps.healthsync
2024.12.05 10:00:00,10:00:00,132,nl.appyhapps.healthsync
2024.12.05 10:15:00,10:15:00,113,nl.appyhapps.healthsync
2024.12.05 10:45:00,10:45:00,92,nl.appyhapps.healthsync
2024.12.05 11:00:00,11:00:00,374,nl.appyhapps.healthsync
2024.12.05 11:15:00,11:15:00,114,nl.appyhapps.healthsync
2024.12.05 11:30:00,11:30:00,279,nl.appyhapps.healthsync
2024.12.05 11:45:00,11:45:00,92,nl.appyhapps.healthsync
2024.12.05 12:00:00,12:00:00,172,nl.appyhapps.healthsync
2024.12.05 12:15:00,12:15:00,87,nl.appyhapps.healthsync
2024.12.05 12:30:00,12:30:00,17,nl.appyhapps.healthsync
2024.12.05 12:45:00,12:45:00,46,nl.appyhapps.healthsync
2024.12.05 13:00:00,13:00:00,19,nl.appyhapps.healthsync
2024.12.05 13:15:00,13:15:00,124,nl.appyhapps.healthsync
2024.12.05 13:30:00,13:30:00,145,nl.appyhapps.healthsync
2024.12.05 14:30:00,14:30:00,44,nl.appyhapps.healthsync
2024.12.05 14:45:00,14:45:00,159,nl.appyhapps.healthsync
2024.12.05 15:00:00,15:00:00,90,nl.appyhapps.healthsync
2024.12.05 15:15:00,15:15:00,97,nl.appyhapps.healthsync
2024.12.05 15:30:00,15:30:00,11,nl.appyhapps.healthsync
2024.12.05 15:45:00,15:45:00,36,nl.appyhapps.healthsync
2024.12.05 16:00:00,16:00:00,54,nl.appyhapps.healthsync
2024.12.05 16:15:00,16:15:00,41,nl.appyhapps.healthsync
2024.12.05 16:30:00,16:30:00,281,nl.appyhapps.healthsync
2024.12.05 16:45:00,16:45:00,310,nl.appyhapps.healthsync
2024.12.05 17:00:00,17:00:00,234,nl.appyhapps.healthsync
2024.12.05 17:15:00,17:15:00,205,nl.appyhapps.healthsync
2024.12.05 17:30:00,17:30:00,1168,nl.appyhapps.healthsync
2024.12.05 17:45:00,17:45:00,1642,nl.appyhapps.healthsync
2024.12.05 18:00:00,18:00:00,1627,nl.appyhapps.healthsync
2024.12.05 18:15:00,18:15:00,1631,nl.appyhapps.healthsync
2024.12.05 18:30:00,18:30:00,499,nl.appyhapps.healthsync
2024.12.05 18:45:00,18:45:00,102,nl.appyhapps.healthsync
2024.12.05 19:00:00,19:00:00,42,nl.appyhapps.healthsync
2024.12.05 19:15:00,19:15:00,139,nl.appyhapps.healthsync
2024.12.05 19:45:00,19:45:00,153,nl.appyhapps.healthsync
2024.12.05 20:00:00,20:00:00,478,nl.appyhapps.healthsync
2024.12.05 20:15:00,20:15:00,7,nl.appyhapps.healthsync
2024.12.05 21:45:00,21:45:00,94,nl.appyhapps.healthsync
2024.12.05 22:00:00,22:00:00,167,nl.appyhapps.healthsync
2024.12.05 22:15:00,22:15:00,7,nl.appyhapps.healthsync
2024.12.06 01:15:00,01:15:00,7,nl.appyhapps.healthsync
2024.12.06 06:15:00,06:15:00,38,nl.appyhapps.healthsync
2024.12.06 06:30:00,06:30:00,110,nl.appyhapps.healthsync
2024.12.06 07:00:00,07:00:00,156,nl.appyhapps.healthsync
2024.12.06 07:15:00,07:15:00,1488,nl.appyhapps.healthsync
2024.12.06 07:30:00,07:30:00,2247,nl.appyhapps.healthsync
2024.12.06 07:45:00,07:45:00,2239,nl.appyhapps.healthsync
2024.12.06 08:00:00,08:00:00,484,nl.appyhapps.healthsync
2024.12.06 08:15:00,08:15:00,109,nl.appyhapps.healthsync
2024.12.06 08:30:00,08:30:00,33,nl.appyhapps.healthsync
2024.12.06 08:45:00,08:45:00,41,nl.appyhapps.healthsync
2024.12.06 09:00:00,09:00:00,47,nl.appyhapps.healthsync
2024.12.06 09:15:00,09:15:00,167,nl.appyhapps.healthsync
2024.12.06 09:30:00,09:30:00,29,nl.appyhapps.healthsync
2024.12.06 09:45:00,09:45:00,60,nl.appyhapps.healthsync
2024.12.06 10:00:00,10:00:00,143,nl.appyhapps.healthsync
2024.12.06 10:15:00,10:15:00,57,nl.appyhapps.healthsync
2024.12.06 10:30:00,10:30:00,11,nl.appyhapps.healthsync
2024.12.06 10:45:00,10:45:00,16,nl.appyhapps.healthsync
2024.12.06 11:15:00,11:15:00,223,nl.appyhapps.healthsync
2024.12.06 11:30:00,11:30:00,29,nl.appyhapps.healthsync
2024.12.06 11:45:00,11:45:00,306,nl.appyhapps.healthsync
2024.12.06 12:00:00,12:00:00,27,nl.appyhapps.healthsync
2024.12.06 12:15:00,12:15:00,167,nl.appyhapps.healthsync
2024.12.06 12:30:00,12:30:00,177,nl.appyhapps.healthsync
2024.12.06 12:45:00,12:45:00,31,nl.appyhapps.healthsync
2024.12.06 13:00:00,13:00:00,33,nl.appyhapps.healthsync
2024.12.06 13:15:00,13:15:00,81,nl.appyhapps.healthsync
2024.12.06 13:45:00,13:45:00,386,nl.appyhapps.healthsync
2024.12.06 14:00:00,14:00:00,136,nl.appyhapps.healthsync
2024.12.06 14:15:00,14:15:00,167,nl.appyhapps.healthsync
2024.12.06 14:30:00,14:30:00,351,nl.appyhapps.healthsync
2024.12.06 14:45:00,14:45:00,118,nl.appyhapps.healthsync
2024.12.06 15:00:00,15:00:00,357,nl.appyhapps.healthsync
2024.12.06 15:30:00,15:30:00,166,nl.appyhapps.healthsync
2024.12.06 15:45:00,15:45:00,369,nl.appyhapps.healthsync
2024.12.06 16:00:00,16:00:00,256,nl.appyhapps.healthsync
2024.12.06 16:15:00,16:15:00,215,nl.appyhapps.healthsync
2024.12.06 16:30:00,16:30:00,286,nl.appyhapps.healthsync
2024.12.06 16:45:00,16:45:00,129,nl.appyhapps.healthsync
2024.12.06 17:00:00,17:00:00,17,nl.appyhapps.healthsync
2024.12.06 17:15:00,17:15:00,233,nl.appyhapps.healthsync
2024.12.06 17:30:00,17:30:00,107,nl.appyhapps.healthsync
2024.12.06 18:00:00,18:00:00,232,nl.appyhapps.healthsync
2024.12.06 18:15:00,18:15:00,224,nl.appyhapps.healthsync
2024.12.06 18:30:00,18:30:00,127,nl.appyhapps.healthsync
2024.12.06 18:45:00,18:45:00,86,nl.appyhapps.healthsync
2024.12.06 19:00:00,19:00:00,16,nl.appyhapps.healthsync
2024.12.06 19:30:00,19:30:00,108,nl.appyhapps.healthsync
2024.12.06 20:00:00,20:00:00,36,nl.appyhapps.healthsync
2024.12.06 20:15:00,20:15:00,144,nl.appyhapps.healthsync
2024.12.06 20:30:00,20:30:00,90,nl.appyhapps.healthsync
2024.12.06 20:45:00,20:45:00,19,nl.appyhapps.healthsync
2024.12.07 00:15:00,00:15:00,7,nl.appyhapps.healthsync
2024.12.07 00:45:00,00:45:00,7,nl.appyhapps.healthsync
2024.12.07 05:15:00,05:15:00,47,nl.appyhapps.healthsync
2024.12.07 05:30:00,05:30:00,181,nl.appyhapps.healthsync
2024.12.07 06:45:00,06:45:00,32,nl.appyhapps.healthsync
2024.12.07 08:45:00,08:45:00,47,nl.appyhapps.healthsync
2024.12.07 09:15:00,09:15:00,56,nl.appyhapps.healthsync
2024.12.07 09:30:00,09:30:00,91,nl.appyhapps.healthsync
2024.12.07 10:30:00,10:30:00,89,nl.appyhapps.healthsync
2024.12.07 10:45:00,10:45:00,207,nl.appyhapps.healthsync
2024.12.07 11:00:00,11:00:00,126,nl.appyhapps.healthsync
2024.12.07 11:15:00,11:15:00,343,nl.appyhapps.healthsync
2024.12.07 11:30:00,11:30:00,298,nl.appyhapps.healthsync
2024.12.07 11:45:00,11:45:00,343,nl.appyhapps.healthsync
2024.12.07 12:00:00,12:00:00,214,nl.appyhapps.healthsync
2024.12.07 12:15:00,12:15:00,293,nl.appyhapps.healthsync
2024.12.07 13:00:00,13:00:00,158,nl.appyhapps.healthsync
2024.12.07 13:15:00,13:15:00,84,nl.appyhapps.healthsync
2024.12.07 13:30:00,13:30:00,58,nl.appyhapps.healthsync
