Date,Time,Steps,Source
2024.11.09 09.15,09.15,2107,nl.appyhapps.healthsync
2024.11.09 09.30,09.30,2126,nl.appyhapps.healthsync
2024.11.09 09.45,09.45,197,nl.appyhapps.healthsync
2024.11.09 10.00,10.00,67,nl.appyhapps.healthsync
2024.11.09 10.15,10.15,402,nl.appyhapps.healthsync
2024.11.09 10.30,10.30,221,nl.appyhapps.healthsync
2024.11.09 10.45,10.45,74,nl.appyhapps.healthsync
2024.11.09 11.00,11.00,156,nl.appyhapps.healthsync
2024.11.09 11.15,11.15,169,nl.appyhapps.healthsync
2024.11.09 11.30,11.30,13,nl.appyhapps.healthsync
2024.11.09 11.45,11.45,226,nl.appyhapps.healthsync
2024.11.09 12.00,12.00,24,nl.appyhapps.healthsync
2024.11.09 12.15,12.15,154,nl.appyhapps.healthsync
2024.11.09 12.30,12.30,62,nl.appyhapps.healthsync
2024.11.09 12.45,12.45,268,nl.appyhapps.healthsync
2024.11.09 13.00,13.00,851,nl.appyhapps.healthsync
2024.11.09 13.15,13.15,947,nl.appyhapps.healthsync
2024.11.09 13.30,13.30,807,nl.appyhapps.healthsync
2024.11.09 13.45,13.45,857,nl.appyhapps.healthsync
2024.11.09 14.00,14.00,1027,nl.appyhapps.healthsync
2024.11.09 14.15,14.15,32,nl.appyhapps.healthsync
2024.11.09 14.30,14.30,49,nl.appyhapps.healthsync
2024.11.09 14.45,14.45,239,nl.appyhapps.healthsync
2024.11.09 15.00,15.00,8,nl.appyhapps.healthsync
2024.11.09 15.30,15.30,64,nl.appyhapps.healthsync
2024.11.09 15.45,15.45,281,nl.appyhapps.healthsync
2024.11.09 16.00,16.00,11,nl.appyhapps.healthsync
2024.11.09 16.30,16.30,21,nl.appyhapps.healthsync
2024.11.09 16.45,16.45,14,nl.appyhapps.healthsync
2024.11.09 17.00,17.00,247,nl.appyhapps.healthsync
2024.11.09 17.15,17.15,966,nl.appyhapps.healthsync
2024.11.09 17.30,17.30,1615,nl.appyhapps.healthsync
2024.11.09 17.45,17.45,1601,nl.appyhapps.healthsync
2024.11.09 18.00,18.00,617,nl.appyhapps.healthsync
2024.11.09 18.15,18.15,118,nl.appyhapps.healthsync
2024.11.09 18.45,18.45,15,nl.appyhapps.healthsync
2024.11.09 19.00,19.00,215,nl.appyhapps.healthsync
2024.11.09 19.15,19.15,24,nl.appyhapps.healthsync
2024.11.09 19.30,19.30,190,nl.appyhapps.healthsync
2024.11.09 19.45,19.45,38,nl.appyhapps.healthsync
2024.11.09 20.00,20.00,67,nl.appyhapps.healthsync
2024.11.09 20.15,20.15,127,nl.appyhapps.healthsync
2024.11.09 20.30,20.30,90,nl.appyhapps.healthsync
2024.11.09 21.00,21.00,29,nl.appyhapps.healthsync
2024.11.09 21.15,21.15,126,nl.appyhapps.healthsync
2024.11.09 21.30,21.30,23,nl.appyhapps.healthsync
2024.11.09 21.45,21.45,81,nl.appyhapps.healthsync
2024.11.09 22.00,22.00,83,nl.appyhapps.healthsync
2024.11.09 22.15,22.15,14,nl.appyhapps.healthsync
2024.11.09 22.30,22.30,68,nl.appyhapps.healthsync
2024.11.09 22.45,22.45,57,nl.appyhapps.healthsync
2024.11.09 23.00,23.00,38,nl.appyhapps.healthsync
2024.11.10 01.15,01.15,13,nl.appyhapps.healthsync
2024.11.10 01.45,01.45,11,nl.appyhapps.healthsync
2024.11.10 04.00,04.00,9,nl.appyhapps.healthsync
2024.11.10 05.15,05.15,87,nl.appyhapps.healthsync
2024.11.10 05.30,05.30,30,nl.appyhapps.healthsync
2024.11.10 05.45,05.45,10,nl.appyhapps.healthsync
2024.11.10 06.00,06.00,41,nl.appyhapps.healthsync
