Date,Time,Steps
2025.01.02 05.15,05.15,97
2025.01.02 05.30,05.30,71
2025.01.02 05.45,05.45,79
2025.01.02 06.00,06.00,89
2025.01.02 06.15,06.15,151
2025.01.02 06.30,06.30,131
2025.01.02 06.45,06.45,1636
2025.01.02 07.00,07.00,1736
2025.01.02 07.15,07.15,1090
2025.01.02 07.30,07.30,15
2025.01.02 07.45,07.45,32
2025.01.02 08.30,08.30,105
2025.01.02 09.15,09.15,14
2025.01.02 10.00,10.00,16
2025.01.02 10.45,10.45,19
2025.01.02 11.15,11.15,9
2025.01.02 11.30,11.30,98
2025.01.02 11.45,11.45,133
2025.01.02 12.15,12.15,20
2025.01.02 14.30,14.30,172
2025.01.02 14.45,14.45,17
2025.01.02 16.30,16.30,68
2025.01.02 16.45,16.45,90
2025.01.02 17.00,17.00,164
2025.01.02 17.15,17.15,113
2025.01.02 17.30,17.30,34
2025.01.02 17.45,17.45,186
2025.01.02 18.00,18.00,156
2025.01.02 18.15,18.15,87
2025.01.02 18.30,18.30,105
2025.01.02 19.00,19.00,39
2025.01.02 19.15,19.15,121
2025.01.02 19.30,19.30,192
2025.01.02 19.45,19.45,59
2025.01.02 20.30,20.30,220
2025.01.02 20.45,20.45,165
2025.01.02 21.15,21.15,13
2025.01.02 21.45,21.45,64
