Date,Time,Steps
2024.12.26 09.00,09.00,121
2024.12.26 09.15,09.15,179
2024.12.26 09.30,09.30,150
2024.12.26 09.45,09.45,10
2024.12.26 10.00,10.00,63
2024.12.26 10.15,10.15,53
2024.12.26 10.30,10.30,112
2024.12.26 10.45,10.45,75
2024.12.26 11.00,11.00,58
2024.12.26 11.30,11.30,35
2024.12.26 11.45,11.45,337
2024.12.26 12.00,12.00,180
2024.12.26 12.15,12.15,273
2024.12.26 12.30,12.30,197
2024.12.26 12.45,12.45,382
2024.12.26 13.00,13.00,450
2024.12.26 13.15,13.15,212
2024.12.26 13.30,13.30,126
2024.12.26 13.45,13.45,191
2024.12.26 14.30,14.30,9
2024.12.26 14.45,14.45,65
2024.12.26 15.00,15.00,94
2024.12.26 15.15,15.15,89
2024.12.26 15.30,15.30,105
2024.12.26 15.45,15.45,183
2024.12.26 16.00,16.00,731
2024.12.26 16.15,16.15,870
2024.12.26 16.30,16.30,1125
2024.12.26 16.45,16.45,934
2024.12.26 17.00,17.00,791
2024.12.26 17.15,17.15,760
2024.12.26 17.30,17.30,124
2024.12.26 17.45,17.45,22
2024.12.26 18.00,18.00,50
2024.12.26 18.15,18.15,72
2024.12.26 18.30,18.30,180
2024.12.26 18.45,18.45,126
2024.12.26 19.00,19.00,32
2024.12.26 19.15,19.15,15
2024.12.26 19.30,19.30,26
2024.12.26 19.45,19.45,87
2024.12.26 20.00,20.00,10
2024.12.26 20.30,20.30,8
2024.12.26 20.45,20.45,48
2024.12.26 21.45,21.45,16
2024.12.26 22.15,22.15,14
2024.12.26 22.30,22.30,98
2024.12.26 22.45,22.45,54
2024.12.26 23.00,23.00,9
2024.12.26 23.30,23.30,26
