Date,Time,Steps
2024.12.04 20.15,20.15,82
2024.12.04 20.30,20.30,337
2024.12.04 20.45,20.45,384
2024.12.04 21.00,21.00,177
2024.12.04 21.15,21.15,11
2024.12.04 21.30,21.30,165
2024.12.04 21.45,21.45,24
2024.12.04 22.00,22.00,148
2024.12.05 06.30,06.30,8
2024.12.05 07.15,07.15,24
2024.12.05 07.30,07.30,84
2024.12.05 07.45,07.45,50
2024.12.05 08.00,08.00,263
2024.12.05 08.15,08.15,363
2024.12.05 08.30,08.30,106
2024.12.05 08.45,08.45,139
2024.12.05 09.00,09.00,100
2024.12.05 09.15,09.15,70
2024.12.05 09.45,09.45,31
2024.12.05 10.00,10.00,132
2024.12.05 10.15,10.15,113
2024.12.05 10.45,10.45,92
2024.12.05 11.00,11.00,374
2024.12.05 11.15,11.15,114
2024.12.05 11.30,11.30,279
2024.12.05 11.45,11.45,92
2024.12.05 12.00,12.00,172
2024.12.05 12.15,12.15,87
2024.12.05 12.30,12.30,17
2024.12.05 12.45,12.45,46
2024.12.05 13.00,13.00,19
2024.12.05 13.15,13.15,124
2024.12.05 13.30,13.30,145
2024.12.05 14.30,14.30,44
2024.12.05 14.45,14.45,159
2024.12.05 15.00,15.00,90
2024.12.05 15.15,15.15,97
2024.12.05 15.30,15.30,11
2024.12.05 15.45,15.45,36
2024.12.05 16.00,16.00,54
2024.12.05 16.15,16.15,41
2024.12.05 16.30,16.30,281
2024.12.05 16.45,16.45,310
2024.12.05 17.00,17.00,234
2024.12.05 17.15,17.15,205
2024.12.05 17.30,17.30,1168
2024.12.05 17.45,17.45,1642
2024.12.05 18.00,18.00,1627
2024.12.05 18.15,18.15,1631
2024.12.05 18.30,18.30,499
2024.12.05 18.45,18.45,102
2024.12.05 19.00,19.00,42
2024.12.05 19.15,19.15,139
2024.12.05 19.45,19.45,153
2024.12.05 20.00,20.00,478
2024.12.05 20.15,20.15,7
2024.12.05 21.45,21.45,94
2024.12.05 22.00,22.00,167
2024.12.05 22.15,22.15,7
2024.12.06 01.15,01.15,7
2024.12.06 06.15,06.15,38
2024.12.06 06.30,06.30,110
2024.12.06 07.00,07.00,156
2024.12.06 07.15,07.15,1488
2024.12.06 07.30,07.30,2247
2024.12.06 07.45,07.45,2239
2024.12.06 08.00,08.00,484
2024.12.06 08.15,08.15,109
2024.12.06 08.30,08.30,33
2024.12.06 08.45,08.45,41
2024.12.06 09.00,09.00,47
2024.12.06 09.15,09.15,167
2024.12.06 09.30,09.30,29
2024.12.06 09.45,09.45,60
2024.12.06 10.00,10.00,143
2024.12.06 10.15,10.15,57
2024.12.06 10.30,10.30,11
2024.12.06 10.45,10.45,16
2024.12.06 11.15,11.15,223
2024.12.06 11.30,11.30,29
2024.12.06 11.45,11.45,306
2024.12.06 12.00,12.00,27
2024.12.06 12.15,12.15,167
2024.12.06 12.30,12.30,177
2024.12.06 12.45,12.45,31
2024.12.06 13.00,13.00,33
2024.12.06 13.15,13.15,81
2024.12.06 13.45,13.45,386
2024.12.06 14.00,14.00,136
2024.12.06 14.15,14.15,167
2024.12.06 14.30,14.30,351
2024.12.06 14.45,14.45,118
2024.12.06 15.00,15.00,357
2024.12.06 15.30,15.30,166
2024.12.06 15.45,15.45,369
2024.12.06 16.00,16.00,256
2024.12.06 16.15,16.15,215
2024.12.06 16.30,16.30,286
2024.12.06 16.45,16.45,129
2024.12.06 17.00,17.00,17
2024.12.06 17.15,17.15,233
2024.12.06 17.30,17.30,107
2024.12.06 18.00,18.00,232
2024.12.06 18.15,18.15,224
2024.12.06 18.30,18.30,127
2024.12.06 18.45,18.45,86
2024.12.06 19.00,19.00,16
2024.12.06 19.30,19.30,108
2024.12.06 20.00,20.00,36
2024.12.06 20.15,20.15,144
2024.12.06 20.30,20.30,90
2024.12.06 20.45,20.45,19
2024.12.07 00.15,00.15,7
2024.12.07 00.45,00.45,7
2024.12.07 05.15,05.15,47
2024.12.07 05.30,05.30,181
2024.12.07 06.45,06.45,32
2024.12.07 08.45,08.45,47
2024.12.07 09.15,09.15,56
2024.12.07 09.30,09.30,91
2024.12.07 10.30,10.30,89
2024.12.07 10.45,10.45,207
2024.12.07 11.00,11.00,126
2024.12.07 11.15,11.15,343
2024.12.07 11.30,11.30,298
2024.12.07 11.45,11.45,343
2024.12.07 12.00,12.00,214
2024.12.07 12.15,12.15,293
2024.12.07 13.00,13.00,158
2024.12.07 13.15,13.15,84
2024.12.07 13.30,13.30,58
2024.12.07 13.45,13.45,157
2024.12.07 14.00,14.00,13
2024.12.07 14.15,14.15,69
2024.12.07 14.30,14.30,39
2024.12.07 14.45,14.45,55
2024.12.07 15.00,15.00,230
2024.12.07 15.45,15.45,31
2024.12.07 17.00,17.00,27
2024.12.07 18.15,18.15,26
2024.12.07 18.45,18.45,32
2024.12.07 19.00,19.00,231
2024.12.07 19.15,19.15,77
2024.12.07 19.45,19.45,45
2024.12.07 20.00,20.00,83
2024.12.07 20.30,20.30,117
2024.12.07 21.30,21.30,10
2024.12.07 22.00,22.00,9
2024.12.07 22.15,22.15,24
2024.12.07 22.30,22.30,31
2024.12.07 22.45,22.45,90
2024.12.07 23.00,23.00,68
2024.12.08 08.30,08.30,119
2024.12.08 08.45,08.45,45
2024.12.08 09.30,09.30,98
2024.12.08 09.45,09.45,1030
2024.12.08 10.00,10.00,2164
2024.12.08 10.15,10.15,2263
2024.12.08 10.30,10.30,2078
2024.12.08 10.45,10.45,286
2024.12.08 11.15,11.15,128
2024.12.08 11.30,11.30,37
2024.12.08 11.45,11.45,40
2024.12.08 12.00,12.00,50
2024.12.08 12.15,12.15,169
2024.12.08 12.30,12.30,361
2024.12.08 12.45,12.45,161
2024.12.08 13.00,13.00,15
2024.12.08 14.30,14.30,36
2024.12.08 15.15,15.15,57
2024.12.08 15.45,15.45,228
2024.12.08 16.00,16.00,214
2024.12.08 16.15,16.15,158
2024.12.08 16.30,16.30,309
2024.12.08 16.45,16.45,220
2024.12.08 17.00,17.00,222
2024.12.08 17.15,17.15,242
2024.12.08 17.30,17.30,235
2024.12.08 17.45,17.45,184
2024.12.08 18.00,18.00,190
2024.12.08 18.15,18.15,214
2024.12.08 18.30,18.30,52
2024.12.08 18.45,18.45,100
2024.12.08 19.00,19.00,195
2024.12.08 19.15,19.15,123
2024.12.08 19.30,19.30,41
2024.12.08 19.45,19.45,10
2024.12.08 20.00,20.00,19
2024.12.08 20.15,20.15,21
2024.12.08 20.30,20.30,17
2024.12.08 20.45,20.45,114
2024.12.08 23.30,23.30,17
2024.12.09 05.15,05.15,10
2024.12.09 05.30,05.30,74
2024.12.09 05.45,05.45,46
2024.12.09 06.00,06.00,131
2024.12.09 06.15,06.15,115
2024.12.09 06.45,06.45,27
2024.12.09 07.00,07.00,44
2024.12.09 07.15,07.15,68
2024.12.09 07.45,07.45,18
2024.12.09 08.00,08.00,1070
2024.12.09 08.15,08.15,1895
2024.12.09 08.30,08.30,2254
2024.12.09 08.45,08.45,2239
2024.12.09 09.00,09.00,1856
2024.12.09 09.15,09.15,24
2024.12.10 04.00,04.00,13
2024.12.10 05.30,05.30,15
2024.12.10 06.15,06.15,22
2024.12.10 07.15,07.15,71
2024.12.10 07.30,07.30,11
2024.12.10 07.45,07.45,85
2024.12.10 08.00,08.00,17
2024.12.10 08.15,08.15,83
2024.12.10 08.30,08.30,15
2024.12.10 09.00,09.00,30
2024.12.10 09.30,09.30,136
2024.12.10 09.45,09.45,119
2024.12.10 10.00,10.00,297
2024.12.10 11.00,11.00,30
2024.12.10 11.15,11.15,29
2024.12.10 11.30,11.30,13
2024.12.10 11.45,11.45,176
2024.12.10 12.00,12.00,147
2024.12.10 12.15,12.15,33
2024.12.10 12.30,12.30,98
2024.12.10 12.45,12.45,116
2024.12.10 13.00,13.00,40
2024.12.10 13.15,13.15,110
2024.12.10 14.00,14.00,10
2024.12.10 15.00,15.00,25
2024.12.10 15.15,15.15,293
2024.12.10 15.30,15.30,183
2024.12.10 15.45,15.45,345
2024.12.10 16.00,16.00,290
2024.12.10 16.15,16.15,336
2024.12.10 16.30,16.30,27
2024.12.10 17.00,17.00,19
2024.12.10 17.15,17.15,425
2024.12.10 17.30,17.30,61
2024.12.10 17.45,17.45,54
2024.12.10 18.00,18.00,75
2024.12.10 18.15,18.15,81
2024.12.10 18.30,18.30,185
2024.12.10 18.45,18.45,21
2024.12.10 19.00,19.00,10
2024.12.10 19.15,19.15,161
2024.12.10 20.15,20.15,139
2024.12.10 20.30,20.30,139
2024.12.10 20.45,20.45,16
2024.12.10 21.15,21.15,32
2024.12.11 05.15,05.15,126
2024.12.11 05.30,05.30,83
2024.12.11 05.45,05.45,95
2024.12.11 06.00,06.00,74
2024.12.11 06.15,06.15,611
2024.12.11 06.30,06.30,441
2024.12.11 06.45,06.45,399
2024.12.11 07.15,07.15,238
2024.12.11 07.30,07.30,256
2024.12.11 07.45,07.45,14
2024.12.11 08.00,08.00,254
2024.12.11 08.15,08.15,313
2024.12.11 08.30,08.30,21
2024.12.11 08.45,08.45,112
2024.12.11 09.00,09.00,74
2024.12.11 09.15,09.15,40
2024.12.11 09.30,09.30,325
2024.12.11 09.45,09.45,99
2024.12.11 10.30,10.30,54
2024.12.11 10.45,10.45,99
2024.12.11 11.00,11.00,164
2024.12.11 11.15,11.15,98
2024.12.11 11.30,11.30,132
2024.12.11 12.00,12.00,168
2024.12.11 12.15,12.15,16
2024.12.11 12.30,12.30,9
2024.12.11 12.45,12.45,27
2024.12.11 13.00,13.00,93
2024.12.11 13.45,13.45,119
2024.12.11 14.00,14.00,101
2024.12.11 14.15,14.15,126
2024.12.11 15.00,15.00,13
2024.12.11 15.15,15.15,8
2024.12.11 15.30,15.30,67
2024.12.11 15.45,15.45,125
2024.12.11 16.00,16.00,120
2024.12.11 16.15,16.15,242
2024.12.11 16.30,16.30,1892
2024.12.11 16.45,16.45,2259
2024.12.11 17.00,17.00,2101
2024.12.11 17.15,17.15,1968
2024.12.11 17.30,17.30,813
2024.12.11 17.45,17.45,66
2024.12.11 18.00,18.00,26
2024.12.11 18.15,18.15,79
2024.12.11 18.30,18.30,108
2024.12.11 18.45,18.45,112
2024.12.11 19.00,19.00,119
2024.12.11 19.15,19.15,197
2024.12.11 19.30,19.30,169
2024.12.11 19.45,19.45,93
2024.12.11 20.00,20.00,26
2024.12.11 20.15,20.15,12
2024.12.11 20.30,20.30,85
2024.12.11 20.45,20.45,95
2024.12.11 21.45,21.45,7
2024.12.12 05.15,05.15,71
2024.12.12 05.30,05.30,239
2024.12.12 05.45,05.45,125
2024.12.12 06.00,06.00,133
2024.12.12 06.15,06.15,121
2024.12.12 06.45,06.45,67
2024.12.12 07.15,07.15,27
2024.12.12 07.30,07.30,136
2024.12.12 08.15,08.15,86
2024.12.12 08.30,08.30,43
2024.12.12 08.45,08.45,54
2024.12.12 09.00,09.00,33
2024.12.12 09.15,09.15,36
2024.12.12 10.45,10.45,55
2024.12.12 11.00,11.00,252
2024.12.12 11.15,11.15,27
2024.12.12 11.30,11.30,155
2024.12.12 11.45,11.45,50
2024.12.12 12.30,12.30,178
2024.12.12 12.45,12.45,81
2024.12.12 13.00,13.00,87
2024.12.12 13.45,13.45,12
2024.12.12 14.45,14.45,66
2024.12.12 15.00,15.00,52
2024.12.12 15.45,15.45,137
2024.12.12 16.30,16.30,142
2024.12.12 16.45,16.45,273
2024.12.12 17.00,17.00,225
2024.12.12 17.15,17.15,104
2024.12.12 17.30,17.30,201
2024.12.12 17.45,17.45,220
2024.12.12 18.00,18.00,86
2024.12.12 18.30,18.30,24
2024.12.12 18.45,18.45,13
2024.12.12 19.00,19.00,13
2024.12.12 19.15,19.15,18
2024.12.12 19.30,19.30,122
2024.12.12 19.45,19.45,44
2024.12.12 20.15,20.15,61
2024.12.12 21.15,21.15,98
2024.12.12 21.30,21.30,260
2024.12.12 21.45,21.45,9
2024.12.13 08.15,08.15,90
2024.12.13 08.30,08.30,55
2024.12.13 08.45,08.45,84
2024.12.13 09.00,09.00,92
2024.12.13 09.15,09.15,413
2024.12.13 09.30,09.30,2276
2024.12.13 09.45,09.45,2296
2024.12.13 10.00,10.00,1545
2024.12.13 10.15,10.15,40
2024.12.13 11.00,11.00,127
2024.12.13 11.15,11.15,113
2024.12.13 11.30,11.30,528
2024.12.13 11.45,11.45,141
2024.12.13 12.00,12.00,123
2024.12.13 12.15,12.15,218
2024.12.13 12.30,12.30,206
2024.12.13 12.45,12.45,215
2024.12.13 13.00,13.00,219
2024.12.13 13.15,13.15,98
2024.12.13 13.30,13.30,223
2024.12.13 13.45,13.45,192
2024.12.13 14.00,14.00,224
2024.12.13 14.15,14.15,140
2024.12.13 14.30,14.30,138
2024.12.13 14.45,14.45,59
2024.12.13 15.15,15.15,416
2024.12.13 15.30,15.30,166
2024.12.13 16.00,16.00,166
2024.12.13 16.45,16.45,95
2024.12.13 17.00,17.00,204
2024.12.13 17.15,17.15,7
2024.12.13 17.30,17.30,290
2024.12.13 17.45,17.45,166
2024.12.13 18.00,18.00,224
2024.12.13 19.30,19.30,22
2024.12.13 20.45,20.45,213
2024.12.13 21.15,21.15,43
2024.12.13 21.45,21.45,165
2024.12.13 22.00,22.00,49
2024.12.13 23.00,23.00,11
2024.12.14 01.15,01.15,53
2024.12.14 01.30,01.30,36
2024.12.14 03.30,03.30,9
2024.12.14 07.15,07.15,124
2024.12.14 07.30,07.30,85
2024.12.14 07.45,07.45,56
2024.12.14 08.00,08.00,46
2024.12.14 08.15,08.15,47
2024.12.14 08.30,08.30,396
2024.12.14 08.45,08.45,108
2024.12.14 09.00,09.00,18
2024.12.14 09.30,09.30,172
2024.12.14 09.45,09.45,45
2024.12.14 10.00,10.00,207
2024.12.14 10.15,10.15,340
2024.12.14 10.30,10.30,81
2024.12.14 10.45,10.45,26
2024.12.14 11.15,11.15,286
2024.12.14 11.30,11.30,176
2024.12.14 11.45,11.45,45
2024.12.14 12.00,12.00,289
2024.12.14 12.15,12.15,179
2024.12.14 12.30,12.30,294
2024.12.14 12.45,12.45,316
2024.12.14 13.00,13.00,340
2024.12.14 13.15,13.15,339
2024.12.14 13.30,13.30,557
2024.12.14 13.45,13.45,144
2024.12.14 14.00,14.00,235
2024.12.14 14.15,14.15,238
2024.12.14 14.30,14.30,108
2024.12.14 14.45,14.45,149
2024.12.14 15.00,15.00,56
2024.12.14 15.15,15.15,83
2024.12.14 15.30,15.30,143
2024.12.14 15.45,15.45,88
2024.12.14 16.15,16.15,62
2024.12.14 16.30,16.30,90
2024.12.14 16.45,16.45,97
2024.12.14 17.00,17.00,217
2024.12.14 17.15,17.15,98
2024.12.14 17.30,17.30,53
2024.12.14 17.45,17.45,117
2024.12.14 18.00,18.00,18
2024.12.14 18.15,18.15,87
2024.12.14 18.30,18.30,139
2024.12.14 18.45,18.45,50
2024.12.14 19.00,19.00,23
2024.12.14 19.30,19.30,17
2024.12.14 20.00,20.00,74
2024.12.14 20.15,20.15,187
2024.12.14 20.30,20.30,13
2024.12.14 20.45,20.45,193
2024.12.14 21.00,21.00,138
2024.12.14 21.15,21.15,16
2024.12.14 22.15,22.15,21
2024.12.14 22.30,22.30,22
2024.12.14 23.15,23.15,51
2024.12.14 23.30,23.30,22
2024.12.14 23.45,23.45,13
2024.12.15 02.45,02.45,18
2024.12.15 09.00,09.00,17
2024.12.15 09.15,09.15,146
2024.12.15 09.30,09.30,11
2024.12.15 10.00,10.00,66
2024.12.15 10.30,10.30,174
2024.12.15 10.45,10.45,147
2024.12.15 11.00,11.00,94
2024.12.15 11.15,11.15,266
2024.12.15 11.30,11.30,136
2024.12.15 11.45,11.45,1686
2024.12.15 12.00,12.00,2228
2024.12.15 12.15,12.15,1866
2024.12.15 12.30,12.30,2226
2024.12.15 12.45,12.45,432
2024.12.15 13.00,13.00,13
2024.12.15 13.45,13.45,55
2024.12.15 14.15,14.15,17
2024.12.15 14.45,14.45,95
2024.12.15 15.00,15.00,248
2024.12.15 15.15,15.15,1045
2024.12.15 15.30,15.30,1644
2024.12.15 15.45,15.45,1634
2024.12.15 16.00,16.00,1600
2024.12.15 16.15,16.15,1589
2024.12.15 16.30,16.30,1609
2024.12.15 16.45,16.45,128
2024.12.15 17.00,17.00,46
2024.12.15 17.30,17.30,165
2024.12.15 17.45,17.45,141
2024.12.15 20.30,20.30,64
2024.12.15 20.45,20.45,84
2024.12.15 21.00,21.00,20
2024.12.15 23.45,23.45,9
2024.12.16 05.15,05.15,116
2024.12.16 05.30,05.30,106
2024.12.16 05.45,05.45,13
2024.12.16 06.00,06.00,127
2024.12.16 06.15,06.15,1690
2024.12.16 06.30,06.30,2268
2024.12.16 06.45,06.45,2100
2024.12.16 07.00,07.00,1761
2024.12.16 07.15,07.15,58
2024.12.16 07.30,07.30,111
2024.12.16 07.45,07.45,120
2024.12.16 08.00,08.00,37
2024.12.16 08.15,08.15,16
2024.12.16 08.45,08.45,320
2024.12.16 09.00,09.00,189
2024.12.16 09.30,09.30,11
2024.12.16 10.00,10.00,61
2024.12.16 10.15,10.15,86
2024.12.16 11.30,11.30,112
2024.12.16 11.45,11.45,126
2024.12.16 12.00,12.00,20
2024.12.16 13.00,13.00,153
2024.12.16 13.15,13.15,254
2024.12.16 13.30,13.30,25
2024.12.16 14.45,14.45,152
2024.12.16 15.00,15.00,101
2024.12.16 16.00,16.00,246
2024.12.16 16.30,16.30,18
2024.12.16 16.45,16.45,19
2024.12.16 17.00,17.00,275
2024.12.16 17.15,17.15,21
2024.12.16 17.30,17.30,7
2024.12.16 17.45,17.45,282
2024.12.16 18.00,18.00,337
2024.12.16 18.15,18.15,137
2024.12.16 18.30,18.30,218
2024.12.16 18.45,18.45,15
2024.12.16 19.00,19.00,179
2024.12.16 19.15,19.15,36
2024.12.16 19.30,19.30,16
2024.12.16 20.15,20.15,106
2024.12.16 20.30,20.30,58
2024.12.17 00.00,00.00,18
2024.12.17 05.15,05.15,58
2024.12.17 05.30,05.30,64
2024.12.17 05.45,05.45,31
2024.12.17 06.00,06.00,51
2024.12.17 06.15,06.15,179
2024.12.17 06.30,06.30,158
2024.12.17 06.45,06.45,204
2024.12.17 07.00,07.00,163
2024.12.17 07.15,07.15,302
2024.12.17 07.30,07.30,266
2024.12.17 08.00,08.00,54
2024.12.17 08.15,08.15,11
2024.12.17 08.30,08.30,31
2024.12.17 08.45,08.45,277
2024.12.17 09.15,09.15,87
2024.12.17 09.30,09.30,105
2024.12.17 09.45,09.45,24
2024.12.17 10.00,10.00,32
2024.12.17 10.15,10.15,132
2024.12.17 10.30,10.30,111
2024.12.17 11.15,11.15,7
2024.12.17 11.30,11.30,83
2024.12.17 11.45,11.45,121
2024.12.17 12.00,12.00,168
2024.12.17 13.00,13.00,80
2024.12.17 13.15,13.15,612
2024.12.17 14.30,14.30,41
2024.12.17 15.15,15.15,405
2024.12.17 15.30,15.30,103
2024.12.18 00.45,00.45,14
2024.12.18 05.15,05.15,7
2024.12.18 05.30,05.30,44
2024.12.18 05.45,05.45,33
2024.12.18 06.00,06.00,74
2024.12.18 06.15,06.15,17
2024.12.18 06.30,06.30,40
2024.12.18 06.45,06.45,252
2024.12.18 07.00,07.00,2309
2024.12.18 07.15,07.15,2266
2024.12.18 07.30,07.30,1850
2024.12.18 07.45,07.45,10
2024.12.18 08.00,08.00,30
2024.12.18 08.15,08.15,132
2024.12.18 08.30,08.30,48
2024.12.18 08.45,08.45,92
2024.12.18 09.00,09.00,12
2024.12.18 10.15,10.15,19
2024.12.18 10.30,10.30,107
2024.12.18 10.45,10.45,8
2024.12.18 11.30,11.30,28
2024.12.19 03.15,03.15,8
2024.12.19 07.00,07.00,57
2024.12.19 07.15,07.15,28
2024.12.19 07.45,07.45,9
2024.12.19 08.30,08.30,79
2024.12.19 08.45,08.45,55
2024.12.19 09.15,09.15,24
2024.12.19 10.00,10.00,108
2024.12.19 10.15,10.15,67
2024.12.19 10.30,10.30,47
2024.12.19 11.15,11.15,11
2024.12.19 11.30,11.30,54
2024.12.19 12.45,12.45,7
2024.12.19 13.00,13.00,46
2024.12.19 13.30,13.30,81
2024.12.19 13.45,13.45,101
2024.12.19 14.15,14.15,23
2024.12.19 14.30,14.30,167
2024.12.19 14.45,14.45,159
2024.12.19 15.00,15.00,58
2024.12.19 15.15,15.15,115
2024.12.19 15.30,15.30,65
2024.12.19 15.45,15.45,21
2024.12.19 16.15,16.15,19
2024.12.19 16.45,16.45,34
2024.12.19 17.00,17.00,96
2024.12.19 17.15,17.15,139
2024.12.19 17.30,17.30,192
2024.12.19 17.45,17.45,295
2024.12.19 18.00,18.00,310
2024.12.19 18.15,18.15,336
2024.12.19 18.30,18.30,132
2024.12.19 18.45,18.45,276
2024.12.19 19.00,19.00,202
2024.12.19 19.15,19.15,57
2024.12.19 19.30,19.30,333
2024.12.19 19.45,19.45,166
2024.12.19 20.00,20.00,132
2024.12.19 21.45,21.45,130
2024.12.19 22.00,22.00,227
2024.12.19 22.15,22.15,221
2024.12.19 22.30,22.30,125
2024.12.20 07.15,07.15,11
2024.12.20 07.45,07.45,29
2024.12.20 08.00,08.00,459
2024.12.20 08.15,08.15,73
2024.12.20 08.30,08.30,45
2024.12.20 08.45,08.45,96
2024.12.20 09.00,09.00,1154
2024.12.20 09.15,09.15,2291
2024.12.20 09.30,09.30,2296
2024.12.20 09.45,09.45,778
2024.12.20 10.00,10.00,50
2024.12.20 10.15,10.15,85
2024.12.20 10.30,10.30,158
